iterations,volume_fractions,poisson_ratios_v12,poisson_ratios_v21
1,0.374639999999988,0.287902927638301,0.287902927638302
2,0.399991325909732,0.283537951573072,0.283537951573069
3,0.400015727408624,0.274342567876216,0.274342567876221
4,0.400133041787083,0.283981255547852,0.283981255547852
5,0.400292768822578,0.28119479845193,0.281194798451933
6,0.400409404179119,0.283625167655006,0.283625167655009
7,0.400529450449924,0.278466275342308,0.278466275342315
8,0.400669148732643,0.275971453787802,0.275971453787818
9,0.400767612753781,0.266852535347375,0.266852535347386
10,0.40084946060056,0.256486711389351,0.256486711389369
11,0.37188146060056,0.248214042559199,0.248214042559225
12,0.34316546060056,0.238161459532456,0.238161459532486
13,0.31474946060056,0.226052581395845,0.226052581395872
14,0.28687346060056,0.210480653832648,0.210480653832688
15,0.259441460600559,0.191382180242764,0.191382180242796
16,0.23256146060056,0.168433794828061,0.168433794828101
17,0.206371226841284,0.139854150725881,0.139854150725947
18,0.181458121790099,0.101868178335362,0.101868178335484
19,0.161880212374794,0.0466390765154843,0.0466390765155818
20,0.149244472063479,-0.0314510846255638,-0.0314510846256622
21,0.148578982122562,-0.141924449929576,-0.141924449929728
22,0.154385053614265,-0.252243177328584,-0.252243177328713
23,0.165838119204218,-0.354462237422772,-0.354462237423179
24,0.181007146072134,-0.443317603697195,-0.443317603697761
25,0.197624039913642,-0.504522994085854,-0.504522994086476
26,0.215390964663821,-0.535974513140269,-0.535974513141079
27,0.233797866677236,-0.544344283370679,-0.544344283371319
28,0.252462305687845,-0.541810658884184,-0.541810658884813
29,0.271269779186269,-0.540729181012398,-0.540729181012828
30,0.290096892485419,-0.538704170720137,-0.538704170720552
31,0.30870263542813,-0.53919646523471,-0.539196465235007
32,0.32723565365048,-0.543283676389858,-0.543283676390214
33,0.345683521815523,-0.540155475965503,-0.540155475965744
34,0.363963606561278,-0.545151180339648,-0.545151180339702
35,0.38214263360702,-0.550156962890861,-0.550156962891295
36,0.400195894331905,-0.555645545086392,-0.555645545086749
37,0.402002121311239,-0.559170994367044,-0.559170994367572
38,0.401918600066806,-0.577061747525389,-0.577061747527513
39,0.401826230750766,-0.580007798574278,-0.580007798580761
40,0.401734656729049,-0.596932188845017,-0.596932188851846
41,0.401643012631332,-0.598589497682753,-0.598589497689054
42,0.401568437739166,-0.614775082658802,-0.61477508270445
43,0.401505870584502,-0.615522584428956,-0.615522584457658
44,0.40145793734666,-0.624402136273773,-0.624402136312881
45,0.401406465194727,-0.622792985227936,-0.622792985276256
46,0.401357445659773,-0.629512462228757,-0.629512462227339
47,0.401305412018963,-0.624179732666095,-0.624179732662943
48,0.401254186669854,-0.626819805718411,-0.626819805684101
49,0.401203606081676,-0.620883252912278,-0.620883252887011
50,0.401155177241089,-0.619750598978579,-0.619750599136542
51,0.401116035322988,-0.618402944514331,-0.618402944688933
52,0.40108001673921,-0.616306010362026,-0.616306010613545
53,0.401055664942134,-0.613646451470466,-0.61364645189
54,0.401032143407751,-0.612760288205058,-0.612760288086253
55,0.401022377931949,-0.611308718212416,-0.611308719012377
56,0.401011589773823,-0.609427134355834,-0.609427134465504
57,0.401007030312207,-0.608161643943874,-0.608161645047666
58,0.401001991534763,-0.608390347450513,-0.608390348370686
59,0.401002193936849,-0.608363262296415,-0.608363262281559
60,0.401000011411985,-0.606308970177011,-0.606308970332041
61,0.401002030399165,-0.605980481041654,-0.60598048230649
62,0.400998645014114,-0.605664429956554,-0.605664425973892
63,0.40099951416302,-0.606610191389993,-0.606610189541176
