sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,rotation_deg,beta,error
13,True,3.127598270878096e-25,3.1275982708688905e-25,6.547076928267689e-34,13,True,4.64,0.498429,4.644307,3.461898,0.163492,0.433697,42.548737,1.257896,
14,True,3.127598270878096e-25,3.1275982708688905e-25,9.743562235631786e-36,12,True,5.06,0.319056,2.923048,1.209142,0.196501,0.617341,79.255483,0.905310,
15,True,0.3373974130257803,0.3832977863542908,-1.865384444835244,150,True,54.13,0.410265,3.524051,3.372776,0.094518,0.280974,78.379603,0.655143,
16,True,0.4372104137876957,0.4372104137876434,-1.6535222771767482,12,True,6.10,0.573552,3.033662,4.782323,0.065717,0.512415,76.104967,0.409630,
17,True,3.127598270878096e-25,3.1275982708688905e-25,2.053737776475685e-34,10,True,4.05,0.490982,3.353272,3.535015,0.259578,0.235842,53.925094,1.200144,
18,True,3.127598270878096e-25,3.1275982708688905e-25,1.8695592631713195e-35,13,True,5.49,0.509361,3.788438,2.089660,0.147062,0.508294,37.934784,0.958055,
19,True,3.127598270878096e-25,3.1275982708688905e-25,2.828131418761628e-33,11,True,4.88,0.517225,3.992727,4.997720,0.245207,0.245177,88.591077,1.498014,
20,True,3.127598270878096e-25,3.1275982708688905e-25,4.572455721615706e-34,10,True,5.10,0.300107,2.800743,5.606217,0.277141,0.555265,35.519444,1.300042,
21,True,3.127598270878096e-25,3.1275982708688905e-25,1.1389699673853354e-33,12,True,4.45,0.395835,2.484887,1.497839,0.180869,0.331038,41.147552,1.342703,
22,True,3.127598270878096e-25,3.1275982708688905e-25,3.074536268302285e-35,10,True,4.23,0.223131,2.226221,4.071877,0.251703,0.212730,81.416435,0.993414,
23,True,3.127598270878096e-25,3.1275982708688905e-25,2.4755212135744452e-36,16,True,6.10,0.240672,4.181583,2.296259,0.132226,0.696291,68.706378,0.856602,
24,True,3.127598270878096e-25,3.1275982708688905e-25,1.4505515331948942e-35,14,True,5.87,0.525463,1.963768,3.770908,0.127425,0.457440,5.515122,0.944049,
25,True,3.127598270878096e-25,3.1275982708688905e-25,4.502901554100742e-35,14,True,5.39,0.599641,3.445192,3.800762,0.135542,0.442514,14.596574,1.022557,
26,True,3.127598270878096e-25,3.1275982708688905e-25,6.258623094204431e-32,20,True,7.88,0.555849,4.974726,4.222799,0.071692,0.326263,75.429960,1.458077,
27,True,0.38689449987168206,0.35113562295158696,-1.5911623333441998,150,True,45.60,0.445900,1.725055,2.675903,0.239386,0.261689,60.924088,0.535698,
28,True,3.127598270878096e-25,3.1275982708688905e-25,1.949160752263348e-33,13,True,4.85,0.547205,4.450035,2.380357,0.143448,0.372226,86.450712,1.367982,
29,True,3.127598270878096e-25,3.1275982708688905e-25,9.805977605506425e-35,11,True,4.34,0.430849,1.158885,2.177034,0.229341,0.403223,48.380701,1.103848,
30,True,0.4339425636339645,0.4339425636339407,-1.390320290727932,20,True,8.67,0.562446,3.673511,5.180022,0.060979,0.422846,54.469829,0.728855,
31,True,3.127598270878096e-25,3.1275982708688905e-25,4.083495858316412e-34,13,True,4.96,0.479010,3.245795,3.260242,0.153495,0.595114,20.406844,1.213065,
32,True,0.4084175180514649,0.4084175082347837,-0.9223601026591094,150,True,49.94,0.485708,2.286015,5.997514,0.102224,0.343660,8.809385,0.680632,
33,True,0.30000000002673627,0.30000000002670685,-0.6737128454892882,150,True,25.47,0.276647,3.562701,1.140396,0.230335,0.601956,24.358713,0.593166,
34,True,0.5362924672256774,0.3793222222769633,-0.6071121827801923,150,True,47.62,0.271857,2.671268,5.017057,0.201016,0.207674,51.244615,0.453456,
35,True,3.127598270878096e-25,3.1275982708688905e-25,6.530551255409587e-34,11,True,2.34,0.537058,4.711751,1.358743,0.243129,0.625741,61.826524,1.311180,
36,True,0.5370106925492327,0.5324747073653171,-2.096899886213175,12,True,5.37,0.380369,2.420173,5.776334,0.271270,0.481834,30.410499,0.490403,
37,True,3.127598270878096e-25,3.1275982708688905e-25,1.895516598372931e-36,14,True,5.37,0.251245,4.588306,2.917534,0.188448,0.258561,12.742253,0.824027,
38,True,3.127598270878096e-25,3.1275982708688905e-25,1.5935626635958766e-36,13,True,5.05,0.325722,1.627711,3.088451,0.219894,0.529446,86.085645,0.802719,
39,True,3.127598270878096e-25,3.1275982708688905e-25,4.528391426831421e-36,15,True,6.06,0.451271,2.865543,4.160637,0.158410,0.304955,65.024991,0.879573,
40,True,3.127598270878096e-25,3.1275982708688905e-25,3.646501439893876e-34,14,True,5.53,0.311652,2.745480,4.376326,0.123753,0.364288,83.850728,1.186818,
41,True,0.4647157681157685,0.46471152213367345,-1.9360086130658192,32,True,10.99,0.421011,1.278100,2.489833,0.110833,0.549480,63.135285,0.585621,
42,True,0.46561813690338383,0.4655923485691941,-2.2977057819335176,20,True,7.42,0.337251,4.207788,3.102043,0.265990,0.562205,56.443530,0.329304,
43,True,0.3341633393595774,0.3416116047584655,-1.330786034491391,150,True,41.54,0.374924,1.837115,3.948578,0.075712,0.225372,31.706839,0.356650,
44,True,3.127598270878096e-25,3.1275982708688905e-25,1.4535873100768893e-34,12,True,4.48,0.333868,1.068819,1.852212,0.177916,0.667674,10.138479,1.131207,
45,True,3.127598270878096e-25,3.1275982708688905e-25,1.5772042224851859e-34,11,True,4.13,0.469380,2.089643,1.031426,0.208516,0.530511,25.350574,1.152458,
46,True,0.30000000023414003,0.3000000002341412,-0.413494462373605,150,True,41.13,0.357373,4.877165,3.615144,0.296737,0.681956,71.041100,0.548810,
47,True,3.127598270878096e-25,3.1275982708688905e-25,3.5973484581674065e-34,10,True,2.45,0.461695,4.301209,5.279760,0.291526,0.571393,17.762215,1.269255,
48,True,3.127598270878096e-25,3.1275982708688905e-25,2.7616158895318996e-36,13,True,5.51,0.287239,1.341943,5.591551,0.210320,0.388626,0.074016,0.832779,
49,True,0.3308861350971133,0.35719193879401473,-1.71427321165065,150,True,35.82,0.227251,1.657390,1.620489,0.080270,0.277466,33.137863,0.753719,
