config,sample_id,pair_idx,volfrac,void_size_frac,v12,v21,Q11,Q22,converged,n_iters,hit_cap,is_connected,n_components,degenerate,volfrac_achieved,osc_score,osc_unstable,is_clean,elapsed_s
q12,q12_00000,0,0.449816047538945,0.38521429192297485,-0.731685806820389,-0.7279792289906609,19.33833456196737,19.24037010033431,True,90,False,True,1,False,0.44981634376453394,0.010134954926121527,False,True,13.801836729049683
normalized,normalized_00000,0,0.449816047538945,0.38521429192297485,-0.9308127428232851,-0.7806742376104817,8.221118134540788,6.8950658428177585,True,150,True,True,1,False,0.44981569886002765,0.13714043910765664,False,True,22.95585012435913
q12,q12_00006,6,0.6329770563201687,0.16370173320348286,-0.7347526616295708,-0.4936519639100058,31.66199700533032,21.266066219871533,True,150,True,True,1,False,0.6329767249861259,0.013523567126707561,False,True,18.106464624404907
normalized,normalized_00006,6,0.6329770563201687,0.16370173320348286,-0.9582949538043677,-0.7815464125909879,11.2068838306042,9.139801296058657,True,150,True,True,1,False,0.5556351374647733,0.17244516095798712,True,False,20.656294584274292
q12,q12_00007,7,0.3727299868828402,0.15502135295603015,-0.5071411789950455,-0.6586395944215172,12.542317636489608,16.289088002653376,True,150,True,True,1,False,0.3727303409351542,0.005968502903464744,False,True,23.01201629638672
normalized,normalized_00007,7,0.3727299868828402,0.15502135295603015,-0.9192678067729023,-0.826282847275921,6.893409226351315,6.196133228012472,True,150,True,True,1,False,0.37272901549644105,0.17280965768735165,True,False,16.91334295272827
q12,q12_00005,5,0.308233797718321,0.39097295564859835,-0.9333431833831609,-0.4294850505086603,8.523224035747152,3.9218537415204873,True,150,True,False,4,False,0.30823344667349417,0.3014834068909543,True,False,20.819026947021484
normalized,normalized_00005,5,0.308233797718321,0.39097295564859835,0.1966642099250131,0.19954295914713063,23.5505589078244,23.89528941655389,True,150,True,True,1,False,0.5027945782550963,0.24316119770536263,True,False,19.73139715194702
q12,q12_00001,1,0.592797576724562,0.279597545259111,-0.7957070442638849,-0.5269306988974534,30.045548525917393,19.88955800653143,True,150,True,True,1,False,0.5927973460426661,0.00886672996658388,False,True,21.38165831565857
normalized,normalized_00001,1,0.592797576724562,0.279597545259111,-0.795962272232448,-0.7293563226393363,14.00709442158542,12.835581869224555,True,150,True,True,1,False,0.5732128686880636,0.15345690161012565,True,False,19.979012966156006
q12,q12_00003,3,0.3232334448672798,0.3598528437324806,0.0031509021784757426,0.0020781302708115772,0.759086644215589,0.5006442105033903,True,150,True,False,4,False,0.32323279026899016,1.7455754585433871,True,False,20.497772455215454
normalized,normalized_00003,3,0.3232334448672798,0.3598528437324806,0.07094218747889668,0.09897439973924138,16.39799043012968,22.87751925093515,True,150,True,True,1,False,0.5101321528817031,1.3584016058632682,True,False,21.264993906021118
q12,q12_00002,2,0.36240745617697456,0.1467983561008608,-0.5906724229168113,-0.6689831431625766,12.652118485607279,14.329522806264977,True,150,True,True,1,False,0.3624071283503272,0.004369022213335463,False,True,19.08223795890808
normalized,normalized_00002,2,0.36240745617697456,0.1467983561008608,-0.9974385924416983,-0.7709841950996853,7.34749736686692,5.679351477190872,True,150,True,True,1,False,0.3624082725966401,0.13584345033058387,False,True,22.907747983932495
q12,q12_00009,9,0.4727780074568463,0.1873687420594126,-0.6137655232825604,-0.6368555373040445,16.647152992226452,17.549904693230005,True,150,True,False,2,False,0.47277836418027763,0.07173606230119928,False,False,20.50917100906372
normalized,normalized_00009,9,0.4727780074568463,0.1873687420594126,-0.9335335030998558,-0.8374967925651948,8.674943149989607,7.781927255409016,True,150,True,False,3,False,0.4727785092491799,0.18935303404250461,True,False,22.74968194961548
q12,q12_00008,8,0.4216968971838151,0.2574269294896714,-0.621873397441408,-0.7169834985746449,14.162691893342398,16.271224429274262,True,150,True,True,1,False,0.4216973616409054,0.06687118390863418,False,True,20.387000799179077
normalized,normalized_00008,8,0.4216968971838151,0.2574269294896714,-0.6075506480961402,-0.6419084847256872,6.345621402340524,6.704475144226875,True,150,True,False,5,False,0.4216972466049655,0.36348383664005623,True,False,23.563827514648438
q12,q12_00004,4,0.5404460046972834,0.3124217733388137,-0.8697189404854165,-0.5207445305756082,27.838076494989593,16.66790373029769,True,150,True,True,1,False,0.5404456339019835,0.006897628321636609,False,True,22.90326189994812
normalized,normalized_00004,4,0.5404460046972834,0.3124217733388137,-0.9028631614921528,-0.8703004193399657,9.858551355981477,9.68737979093332,True,150,True,True,1,False,0.5404465282232435,0.15551329090406593,True,False,21.93095564842224
q12,q12_00010,10,0.5447411578889517,0.14184815819561256,-0.6728008251528758,-0.676634169133818,23.671324035885167,23.806193558778194,True,66,False,True,1,False,0.5447404152710178,0.004577193100500849,False,True,9.996218919754028
normalized,normalized_00010,10,0.5447411578889517,0.14184815819561256,-0.93475649834245,-0.8413734789463102,9.604622746973725,8.645511389762007,True,150,True,True,1,False,0.5447414503369307,0.18712764142321908,True,False,23.15698266029358
q12,q12_00012,12,0.4824279936868143,0.33555278841790415,-0.6918012352932681,-0.5314418722571025,21.064919578161696,16.573721045142268,True,150,True,False,3,False,0.48242815514934717,0.02568890960723086,False,False,16.03312587738037
normalized,normalized_00012,12,0.4824279936868143,0.33555278841790415,-0.9755810376434914,-0.7970300436178179,8.641289752100164,7.059759550746946,True,150,True,True,1,False,0.47493507572038696,0.1754142884908076,True,False,19.762319803237915
q12,q12_00018,18,0.42184550766934825,0.12930163420191518,-0.7041373640767011,-0.6890748100720342,18.604153160734274,18.207122770271084,True,106,False,True,1,False,0.42184605406409137,0.005600491900166126,False,True,13.889952898025513
normalized,normalized_00018,18,0.42184550766934825,0.12930163420191518,-0.6076416125203539,-0.641683610512788,6.351216065243417,6.7070312037852915,True,150,True,False,5,False,0.42184650078453906,0.36390841360881887,True,False,20.738187551498413
