iterations,volume_fractions,poisson_ratios_v12,poisson_ratios_v21
1,0.386699999999986,0.297968770818667,0.297968770818668
2,0.399939243712877,0.288075223021594,0.288075223021597
3,0.399970387155866,0.30411170093982,0.304111700939815
4,0.399943930352739,0.286795779215656,0.286795779215657
5,0.399973117185849,0.287879329038685,0.287879329038676
6,0.399943988503528,0.24489549113527,0.24489549113527
7,0.399968219242507,0.237440942837005,0.237440942837052
8,0.399933731155203,0.189879254446732,0.189879254446935
9,0.399978326648654,0.131113275228952,0.131113275229743
10,0.399983913065503,0.0757278375567932,0.0757278375569385
11,0.400021775410338,0.0328543260349056,0.032854326035212
12,0.400014806156156,-0.039951663547658,-0.0399516635478918
13,0.400017627501127,-0.119819584322949,-0.119819584324683
14,0.400015161404021,-0.244877230476822,-0.24487723048132
15,0.400025773662657,-0.337416046491282,-0.337416046488708
16,0.400018029051056,-0.431308928632619,-0.431308928633433
17,0.400012724794756,-0.480160304741411,-0.480160304721139
18,0.40000345641174,-0.517387575663821,-0.517387575639311
19,0.399998979367324,-0.545678887885049,-0.54567888792025
20,0.40000826273607,-0.569699241658092,-0.569699241613313
21,0.40003096914845,-0.58140532371469,-0.58140532362584
22,0.400039953630636,-0.594578235471353,-0.594578235248328
23,0.400038645536116,-0.598648032828189,-0.598648032351788
24,0.400035148691995,-0.606939707565607,-0.606939707002283
25,0.400035080131537,-0.606488079411372,-0.606488078721514
26,0.400030966917796,-0.611847219739602,-0.611847218952818
27,0.400030535985504,-0.610949705765204,-0.610949704806566
28,0.400027192561379,-0.615331907080434,-0.615331906044065
29,0.400026457501133,-0.612590838402273,-0.612590837230331
30,0.400023477437361,-0.615411287053667,-0.615411286057338
31,0.400021087465451,-0.61216849081918,-0.612168489688552
32,0.400019040905777,-0.61549419960138,-0.615494199408924
33,0.400017310329832,-0.612472608485754,-0.612472608250277
34,0.400017903439123,-0.615223631555064,-0.615223631424471
35,0.400018526019727,-0.612555626833041,-0.6125556266386
36,0.400020142540425,-0.616313558452528,-0.616313558277879
37,0.400021438756048,-0.613770352041447,-0.613770351953609
38,0.400020683825037,-0.617789671206525,-0.617789671258008
39,0.400022638715557,-0.614809628444844,-0.61480962847704
