iterations,volume_fractions,poisson_ratios_v12,poisson_ratios_v21
1,0.380819999999987,0.294661736733172,0.295390901882624
2,0.399998734494338,0.265059437611936,0.270537182111746
3,0.400000285765418,0.284687112131802,0.294216499965481
4,0.399996908903926,0.214918537931146,0.229294914442237
5,0.399998356429345,0.18506995160283,0.209137796424636
6,0.399998686163318,0.134657045946047,0.15315846488621
7,0.399999692241617,0.0776578930730053,0.0976697108073364
8,0.400005107333109,0.0258084744752551,0.0341600907494586
9,0.400006188923362,-0.0125755298890888,-0.0172401492017368
10,0.400009008721604,-0.0469838203713057,-0.0605810533733747
11,0.399996962953377,-0.0982385850006588,-0.123313702324915
12,0.399992749563673,-0.157737604818791,-0.206272347804863
13,0.399988157900452,-0.212128232489173,-0.293964756044143
14,0.399990633707377,-0.26097233793769,-0.385515119219971
15,0.399998616215385,-0.30246160268825,-0.473196615386396
16,0.40000514768535,-0.333036912661288,-0.538062327982188
17,0.400002366132952,-0.35632951187009,-0.592567837861675
18,0.399997423929677,-0.375976331171969,-0.632684204187096
19,0.399992016358724,-0.395369799667711,-0.662809905192564
20,0.39999008941347,-0.405914993224502,-0.664286723668496
21,0.399989116907237,-0.41623883736529,-0.679747788707091
22,0.39998640994142,-0.420475021460499,-0.673263142122002
23,0.399978506382741,-0.430113424436779,-0.679217300886244
24,0.399968287113918,-0.436410526021901,-0.665551040900016
25,0.399959946999479,-0.445491523606207,-0.694480368236799
26,0.399953930015915,-0.447860269182075,-0.666943181588962
27,0.399947911932536,-0.451794462520505,-0.696476160328579
28,0.399945321937252,-0.448900970501447,-0.671219691394853
29,0.399941271874615,-0.453736825566136,-0.702737856261744
30,0.399939335422492,-0.450432121955402,-0.677916840466196
31,0.399936665828663,-0.454550291763208,-0.709586488119116
32,0.399935654689986,-0.45109508305213,-0.68110979491072
33,0.399933711602958,-0.454437223245289,-0.712211450965741
