sample_id,seed,objective,success,v12,v21,obj_value,n_iters,converged,elapsed_time,error,E0,Emin,ft,max_iter,move,nelx,nely,nu,penal,rmin,save_every,scale_factor,tol_change,tol_obj,verbose,void_size_frac,volfrac,window_size
1962,reentrant_bowtie,auxetic,True,-0.037382827678329573,-0.8963956519491102,1.0032274223008741,150,True,17.81,,199.0,1e-09,2,150,0.134983,50,50,0.3,3.19504,1.234604,9999,1,0.01,0.05,False,0.365751,0.569163,20
1963,reentrant_bowtie,auxetic,True,1.8947307927949153e-11,0.3723567523695975,1.2437383983184818,16,True,2.45,,199.0,1e-09,2,150,0.131017,50,50,0.3,2.754957,1.178952,9999,1,0.01,0.05,False,0.286301,0.564842,20
1964,reentrant_bowtie,auxetic,True,-0.18596441069237854,-0.7196632523862523,0.4863089457981862,58,True,8.29,,199.0,1e-09,2,150,0.090704,50,50,0.3,3.439113,1.089996,9999,1,0.01,0.05,False,0.34091,0.551057,20
1965,reentrant_bowtie,auxetic,True,-0.20481593573877876,-0.3441610968485196,0.5249467899368613,150,True,21.87,,199.0,1e-09,2,150,0.127208,50,50,0.3,2.695444,1.158969,9999,1,0.01,0.05,False,0.327051,0.502927,20
1966,reentrant_bowtie,auxetic,True,-0.09885477224822643,-1.5289758900926629,0.6668422508122327,61,True,8.83,,199.0,1e-09,2,150,0.095916,50,50,0.3,3.378168,1.111364,9999,1,0.01,0.05,False,0.362967,0.55222,20
1967,reentrant_bowtie,auxetic,True,-0.06683555447850763,-1.506959144564633,0.7944857293909339,45,True,6.69,,199.0,1e-09,2,150,0.141932,50,50,0.3,3.196746,1.21303,9999,1,0.01,0.05,False,0.312268,0.546538,20
1968,reentrant_bowtie,auxetic,True,-0.43737362358322734,-0.2834410037707189,0.4801616805188411,48,True,6.65,,199.0,1e-09,2,150,0.114241,50,50,0.3,3.534675,1.141339,9999,1,0.01,0.05,False,0.308077,0.516164,20
1969,reentrant_bowtie,auxetic,True,2.1224070159157236e-11,0.40434320363308185,1.321174145268041,18,True,2.27,,199.0,1e-09,2,150,0.098593,50,50,0.3,2.616031,1.085282,9999,1,0.01,0.05,False,0.302991,0.571937,20
1970,reentrant_bowtie,auxetic,True,-0.2724099455522335,-0.3591942288834711,0.4092292806325005,54,True,7.14,,199.0,1e-09,2,150,0.099892,50,50,0.3,2.569316,1.069994,9999,1,0.01,0.05,False,0.305843,0.528152,20
1971,reentrant_bowtie,auxetic,True,-0.08903815352807166,-1.085925168655851,0.7023309351689437,150,True,21.71,,199.0,1e-09,2,150,0.108137,50,50,0.3,3.53997,1.093152,9999,1,0.01,0.05,False,0.370059,0.572688,20
