image_path,f1,f2,v12_recheck,v21_recheck,error
outputs/multi_batch/batch_1/circle/sample_0000/iteration_00150.png,0.09722672603841234,0.09838422318078299,-0.39878928060631613,-0.403710033020555,
outputs/multi_batch/batch_1/circle/sample_0001/iteration_00150.png,0.2010249429660053,0.20232837642249366,-0.00044722482856408743,-0.00045011936445378683,
outputs/multi_batch/batch_1/circle/sample_0002/iteration_00150.png,0.1761042441891136,0.18490182780089828,-0.08363296036863627,-0.08781155716629838,
outputs/multi_batch/batch_1/circle/sample_0003/iteration_00150.png,0.15707284515010925,0.15707284515023442,-0.2936460112878199,-0.2936460112880633,
outputs/multi_batch/batch_1/circle/sample_0004/iteration_00150.png,0.17508193128733776,0.17508193128751867,-0.12812657341405345,-0.12812657341418457,
outputs/multi_batch/batch_1/circle/sample_0005/iteration_00150.png,0.1271416183417699,0.1247692466742002,-0.22004605181839818,-0.21578363070960044,
outputs/multi_batch/batch_1/circle/sample_0006/iteration_00150.png,0.2377830458701004,0.2377417464535641,0.060798824992851025,0.06078779513382062,
outputs/multi_batch/batch_1/circle/sample_0007/iteration_00150.png,0.15016767953782734,0.15598036391668255,-0.18816945982396222,-0.19543372414539448,
outputs/multi_batch/batch_1/circle/sample_0008/iteration_00150.png,0.11167730490534249,0.11067713023352853,-0.36725376365547874,-0.3642609174680183,
outputs/multi_batch/batch_1/circle/sample_0009/iteration_00150.png,0.14270099818651782,0.14888395345385716,-0.2886857869495739,-0.30011496179232877,
outputs/multi_batch/batch_1/circle/sample_0010/iteration_00150.png,0.1690674658301926,0.1690674658303442,-0.2555842718852087,-0.2555842718854401,
outputs/multi_batch/batch_1/circle/sample_0011/iteration_00150.png,0.15633811017766402,0.15354925896359325,-0.27331460720594875,-0.2686013943794075,
outputs/multi_batch/batch_1/circle/sample_0012/iteration_00129.png,0.09677604872007102,0.09762426282972306,-0.3747006952191582,-0.3780242459869198,
outputs/multi_batch/batch_1/circle/sample_0013/iteration_00150.png,0.23658240282949017,0.23658240282965162,-0.10455105600390152,-0.10455105600397378,
outputs/multi_batch/batch_1/circle/sample_0014/iteration_00150.png,0.0670323939151074,0.07697492477085077,-0.008087725587458353,-0.009345531485053491,
outputs/multi_batch/batch_1/circle/sample_0015/iteration_00150.png,0.1695485848500809,0.1694472351289228,-0.19693751293812825,-0.19682465429874224,
outputs/multi_batch/batch_1/circle/sample_0016/iteration_00150.png,0.13657163693378988,0.13661907741262005,-0.3336115827453701,-0.3337284958661878,
outputs/multi_batch/batch_1/circle/sample_0017/iteration_00150.png,0.1221056562481476,0.12268591812408632,-0.41916082756115863,-0.4212098335771455,
outputs/multi_batch/batch_1/circle/sample_0018/iteration_00111.png,0.2279266489941164,0.22750229329098207,0.075819087438481,0.07567883287262724,
outputs/multi_batch/batch_1/circle/sample_0019/iteration_00150.png,0.2180370726645544,0.21803707266471517,-0.11308890482108545,-0.11308890482117252,
outputs/multi_batch/batch_1/circle/sample_0020/iteration_00150.png,0.189443233535437,0.1894432335355761,-0.07586588034069283,-0.0758658803407489,
outputs/multi_batch/batch_1/circle/sample_0021/iteration_00150.png,0.09434535276235138,0.09227859542396495,-0.3564402448199826,-0.34887839419717076,
outputs/multi_batch/batch_1/circle/sample_0022/iteration_00150.png,0.10544516630783668,0.11250870945148775,-0.5511017358139664,-0.5874948829921977,
outputs/multi_batch/batch_1/circle/sample_0023/iteration_00150.png,0.1784908187909911,0.1784908187911508,-0.1857038170709893,-0.1857038170711586,
outputs/multi_batch/batch_1/circle/sample_0024/iteration_00150.png,0.1278080210839263,0.1141927693597965,-0.4587999472289852,-0.41010745688387307,
outputs/multi_batch/batch_1/circle/sample_0025/iteration_00150.png,0.14911035762905833,0.14911035762923444,-0.21847157999920302,-0.21847157999944786,
outputs/multi_batch/batch_1/circle/sample_0026/iteration_00150.png,0.11685903276843167,0.11289780080350822,-0.43943158160755036,-0.42429423745680556,
outputs/multi_batch/batch_1/circle/sample_0027/iteration_00101.png,0.22894115600012355,0.22995733333873586,0.0704831694061154,0.07079716061464877,
outputs/multi_batch/batch_1/circle/sample_0028/iteration_00150.png,0.06268115358272532,0.048952047409605744,-0.3170851058960225,-0.24787905092243412,
outputs/multi_batch/batch_1/circle/sample_0029/iteration_00150.png,0.15031328522874812,0.15069293097136977,-0.2304511136806101,-0.23088000739559295,
outputs/multi_batch/batch_1/circle/sample_0030/iteration_00150.png,0.15803247079495625,0.1580324707951401,-0.27888114077336335,-0.27888114077366183,
outputs/multi_batch/batch_1/circle/sample_0031/iteration_00150.png,0.10633176512216824,0.11207053192172237,-0.3869641064425822,-0.40851538220556705,
outputs/multi_batch/batch_1/circle/sample_0032/iteration_00150.png,0.1624752751932386,0.16317177171907538,-0.27605821213818243,-0.2772616857951148,
outputs/multi_batch/batch_1/circle/sample_0033/iteration_00150.png,0.12505761008537214,0.13573283345336143,-0.04096063987664098,-0.04445635420305221,
outputs/multi_batch/batch_1/circle/sample_0034/iteration_00150.png,0.02689098053731603,0.04343676254298231,-0.12809297426629732,-0.20700380834388418,
outputs/multi_batch/batch_1/circle/sample_0035/iteration_00150.png,0.1934945114748985,0.19349451147503996,-0.10715211087176663,-0.10715211087184565,
outputs/multi_batch/batch_1/circle/sample_0036/iteration_00150.png,0.19781877361618516,0.1978187736163326,-0.09052797730918159,-0.09052797730924754,
outputs/multi_batch/batch_1/circle/sample_0037/iteration_00150.png,0.06836262627484664,0.04732236493239832,0.01919999267798602,0.013074983746401335,
outputs/multi_batch/batch_1/circle/sample_0038/iteration_00150.png,0.06804370588857539,0.06960325932516837,-0.3134844471727722,-0.3208096931590619,
outputs/multi_batch/batch_1/circle/sample_0039/iteration_00150.png,0.1884764075901312,0.19009300559840367,-0.13025036978351273,-0.1313891425016324,
outputs/multi_batch/batch_1/circle/sample_0040/iteration_00150.png,0.10176367232844871,0.10179925244163016,-0.2929015544779979,-0.29300351818509923,
outputs/multi_batch/batch_1/circle/sample_0041/iteration_00150.png,0.14386017716780863,0.14207526171807472,-0.24904503920769855,-0.2459735314871705,
outputs/multi_batch/batch_1/circle/sample_0042/iteration_00150.png,0.18058783007444723,0.18058783007464072,-0.20675832401730473,-0.20675832401751212,
outputs/multi_batch/batch_1/circle/sample_0043/iteration_00150.png,0.13854647541715648,0.1467943020102745,-0.2930190445355537,-0.3108049862491993,
outputs/multi_batch/batch_1/circle/sample_0044/iteration_00150.png,0.14139623493306036,0.14914705179935978,-0.16025827765750636,-0.16899310337166518,
outputs/multi_batch/batch_1/circle/sample_0045/iteration_00150.png,0.14465568599445797,0.14457775291573102,-0.34596241059773614,-0.3457756653678533,
outputs/multi_batch/batch_1/circle/sample_0046/iteration_00150.png,0.14878230027355105,0.14878230027367262,-0.36604686630399785,-0.36604686630436023,
outputs/multi_batch/batch_1/circle/sample_0047/iteration_00150.png,0.10558579963376113,0.10547332341189757,-0.255058350866477,-0.25481333149580143,
outputs/multi_batch/batch_1/circle/sample_0048/iteration_00150.png,0.20832289698253284,0.2083724956494328,-0.09870291027836675,-0.09872714414777428,
outputs/multi_batch/batch_1/circle/sample_0049/iteration_00150.png,0.12324515660726057,0.10507529336617417,-0.2048188104782553,-0.1746954813408458,
outputs/multi_batch/batch_1/circle/sample_0050/iteration_00150.png,0.1441780614622672,0.13816902555736935,-0.31091764295577845,-0.29826684718162577,
outputs/multi_batch/batch_1/circle/sample_0051/iteration_00150.png,0.15636817100042175,0.1686083685103729,-0.06092372968053286,-0.06579007085257332,
outputs/multi_batch/batch_1/circle/sample_0052/iteration_00150.png,0.12922820715086075,0.1254758274476756,-0.3728674740550095,-0.36270142564318847,
outputs/multi_batch/batch_1/circle/sample_0053/iteration_00093.png,0.11830679620764395,0.11819616169909529,-0.33450149405772334,-0.33386405910059874,
outputs/multi_batch/batch_1/circle/sample_0054/iteration_00150.png,0.10496343010907763,0.10795554761900318,-0.27702520503835654,-0.2856325302457246,
outputs/multi_batch/batch_1/circle/sample_0055/iteration_00150.png,0.2220754439287413,0.22207544392889736,-0.10634806666282466,-0.10634806666290156,
outputs/multi_batch/batch_1/circle/sample_0056/iteration_00150.png,0.12706255791588034,0.1423808850800054,-0.1577079702433639,-0.17673643595003327,
outputs/multi_batch/batch_1/circle/sample_0057/iteration_00150.png,0.16461088737199284,0.16461088737213667,-0.3680831608842504,-0.3680831608845863,
outputs/multi_batch/batch_1/circle/sample_0058/iteration_00150.png,0.18639830019569678,0.1867718532761769,-0.08265292593449042,-0.08287276937022339,
outputs/multi_batch/batch_1/circle/sample_0059/iteration_00150.png,0.1371307712035123,0.13659404317406693,-0.27505765484938277,-0.27398009457203454,
outputs/multi_batch/batch_1/circle/sample_0060/iteration_00150.png,0.1362342338462429,0.14616738671443033,-0.2267584048072784,-0.24501326263012504,
outputs/multi_batch/batch_1/circle/sample_0061/iteration_00150.png,0.18152999532351682,0.18152999532368538,-0.16682506261516125,-0.16682506261531369,
outputs/multi_batch/batch_1/circle/sample_0062/iteration_00150.png,0.13993335015745803,0.14544500818842068,-0.30695307640782254,-0.3199472090211848,
outputs/multi_batch/batch_1/circle/sample_0063/iteration_00150.png,0.12648820467260444,0.12424500641053521,-0.26344829378459467,-0.2588373344262117,
outputs/multi_batch/batch_1/circle/sample_0064/iteration_00142.png,0.12842092195164065,0.12314017646124242,-0.21762503605963543,-0.20885539466354405,
outputs/multi_batch/batch_1/circle/sample_0065/iteration_00150.png,0.19395804833224994,0.19395804833239827,-0.09106479764923785,-0.09106479764930306,
outputs/multi_batch/batch_1/circle/sample_0066/iteration_00150.png,0.26786959310087866,0.26794990850815203,-0.06949694455284391,-0.06951931872278377,
outputs/multi_batch/batch_1/circle/sample_0067/iteration_00150.png,0.12699747804495037,0.12173400305779597,-0.3295247327978507,-0.3159883589953245,
