batch,seed,sample_id,image_path,v12,v21,volfrac_achieved,obj_value,converged,volfrac,penal,rmin,move,void_size_frac,n_components,is_connected,degenerate,solid_frac,n_iters,max_iter,hit_cap,osc_score,osc_unstable
1,circle,58,outputs/multi_batch/batch_1/circle/sample_0058/iteration_00150.png,-0.0825688658674921,-0.0828178559249259,0.595569,0.88416529697074,True,0.595569,4.475052,2.038358,0.109457,0.432537,1,True,False,0.60302734375,150,150,True,0.21307494009463732,True
1,circle,60,outputs/multi_batch/batch_1/circle/sample_0060/iteration_00150.png,-0.2271869855862926,-0.2454923888071091,0.469705,0.6757238117435017,True,0.469705,4.814618,1.050006,0.188763,0.379027,1,True,False,0.473388671875,150,150,True,0.29333368643035657,True
1,circle,66,outputs/multi_batch/batch_1/circle/sample_0066/iteration_00150.png,-0.0695327164446515,-0.0695422664466024,0.672821,0.6727352106515723,True,0.672821,4.612194,1.029918,0.132314,0.35909,1,True,False,0.664794921875,150,150,True,0.16209032812835905,True
1,circle,72,outputs/multi_batch/batch_1/circle/sample_0072/iteration_00150.png,-0.1994130679188742,-0.1994092113228922,0.601266,0.8040882519187909,True,0.601266,4.356774,2.263128,0.221931,0.383336,1,True,False,0.6171875,150,150,True,0.321177935860332,True
1,circle,76,outputs/multi_batch/batch_1/circle/sample_0076/iteration_00150.png,-0.3633320101654613,-0.3633320101659323,0.563308,0.5528753096975314,True,0.668249,3.609662,1.118156,0.178151,0.539186,3,False,False,0.55810546875,150,150,True,0.02091894519844748,False
1,circle,79,outputs/multi_batch/batch_1/circle/sample_0079/iteration_00150.png,-0.0735231782509609,-0.0735231782540688,0.625259,0.7916043712083682,True,0.632335,2.170422,1.839226,0.24558,0.32713,1,True,False,0.63525390625,150,150,True,0.4990105590718893,True
1,circle,80,outputs/multi_batch/batch_1/circle/sample_0080/iteration_00150.png,-0.2646841773563519,-0.2712105691235484,0.522215,0.7195457693893531,True,0.522215,4.692407,1.372771,0.243297,0.498432,2,False,False,0.526611328125,150,150,True,0.04276514437090225,False
1,circle,85,outputs/multi_batch/batch_1/circle/sample_0085/iteration_00150.png,-0.333744749520077,-0.3337447495204761,0.612497,0.3679792868257984,True,0.618967,2.762263,1.17104,0.116174,0.420159,3,False,False,0.616455078125,150,150,True,0.00195778233399883,False
1,circle,86,outputs/multi_batch/batch_1/circle/sample_0086/iteration_00150.png,-0.1445649313660326,-0.1401168905159454,0.646102,1.1077660594912513,True,0.646103,4.330318,1.785908,0.058535,0.294711,1,True,False,0.657958984375,150,150,True,0.28608252649762866,True
1,circle,87,outputs/multi_batch/batch_1/circle/sample_0087/iteration_00150.png,-0.1987397151184154,-0.1967389745420047,0.553154,0.6204165328306015,True,0.553155,2.402415,1.604755,0.213423,0.517079,1,True,False,0.557373046875,150,150,True,0.15461655372940558,True
1,circle,88,outputs/multi_batch/batch_1/circle/sample_0088/iteration_00150.png,-0.1242853816758233,-0.1242853816667155,0.686893,0.7409891888965549,True,0.687888,3.704039,1.88517,0.206033,0.416351,1,True,False,0.691162109375,150,150,True,0.3362952326784831,True
1,circle,92,outputs/multi_batch/batch_1/circle/sample_0092/iteration_00150.png,-0.0716586801972897,-0.07165880362881,0.627742,0.8015554001863912,True,0.627742,4.451339,1.496058,0.199713,0.262845,1,True,False,0.635498046875,150,150,True,0.32263389116026314,True
1,circle,95,outputs/multi_batch/batch_1/circle/sample_0095/iteration_00150.png,-0.2164672900225541,-0.2164672900227917,0.635333,0.6726801445865488,True,0.656831,3.019492,2.217128,0.226554,0.472523,2,False,False,0.641845703125,150,150,True,0.030039813488044277,False
1,circle,98,outputs/multi_batch/batch_1/circle/sample_0098/iteration_00150.png,-0.3341230429992251,-0.3624857227888103,0.638775,0.6365818967483685,True,0.638774,4.157329,2.22119,0.127894,0.425816,3,False,False,0.64111328125,150,150,True,0.06705989241574246,False
1,circle,104,outputs/multi_batch/batch_1/circle/sample_0104/iteration_00150.png,-0.0075986217146349,-0.0075986217134962,0.635249,0.9451133778842468,True,0.637024,4.061187,1.016922,0.217952,0.468952,2,False,False,0.6806640625,150,150,True,1.276695966690499,True
1,circle,105,outputs/multi_batch/batch_1/circle/sample_0105/iteration_00150.png,0.022065983218243,0.0212613418909064,0.480203,1.4191938188859885,True,0.480203,2.883993,2.335701,0.060328,0.398946,3,False,False,0.481689453125,150,150,True,0.044339331089897786,False
1,circle,106,outputs/multi_batch/batch_1/circle/sample_0106/iteration_00150.png,-0.069277664566052,-0.0705730853503916,0.57027,0.8271785253380528,True,0.570269,4.399337,1.708382,0.115159,0.484436,1,True,False,0.57080078125,150,150,True,0.15334179147706778,True
1,circle,107,outputs/multi_batch/batch_1/circle/sample_0107/iteration_00150.png,-0.2352421448805599,-0.2352421448807987,0.605699,0.6960452546732577,True,0.663172,2.471045,1.902054,0.156756,0.266124,4,False,False,0.60595703125,150,150,True,0.030557610745808293,False
1,circle,109,outputs/multi_batch/batch_1/circle/sample_0109/iteration_00150.png,-0.2494785284605495,-0.2332507701926411,0.530915,0.7676204219499757,True,0.539311,2.130748,1.189265,0.141513,0.540752,2,False,False,0.529052734375,150,150,True,0.0030948610911184556,False
1,circle,112,outputs/multi_batch/batch_1/circle/sample_0112/iteration_00150.png,-0.071541601133394,-0.0726227629861334,0.556035,0.9030461613007964,True,0.556034,3.538056,2.376567,0.248057,0.279222,1,True,False,0.560546875,150,150,True,0.34712073321324594,True
