sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,rotation_deg,beta,error
24,True,3.127598270878096e-25,3.1275982708688905e-25,1.7299434802936902e-35,11,True,4.69,0.525463,1.963768,3.770908,0.127425,0.457440,5.515122,0.944049,
25,True,3.127598270878096e-25,3.1275982708688905e-25,4.2094048301136143e-35,11,True,4.30,0.599641,3.445192,3.800762,0.135542,0.442514,14.596574,1.022557,
26,True,3.127598270878096e-25,3.1275982708688905e-25,6.51294288065343e-33,14,True,6.01,0.555849,4.974726,4.222799,0.071692,0.326263,75.429960,1.458077,
27,True,0.30000000001063,0.3000000000120403,-1.1045021919835096,13,True,4.56,0.445900,1.725055,2.675903,0.239386,0.261689,60.924088,0.535698,
28,True,3.127598270878096e-25,3.1275982708688905e-25,7.611979023293327e-34,10,True,4.28,0.547205,4.450035,2.380357,0.143448,0.372226,86.450712,1.367982,
29,True,3.127598270878096e-25,3.1275982708688905e-25,8.880506129182955e-35,10,True,4.02,0.430849,1.158885,2.177034,0.229341,0.403223,48.380701,1.103848,
30,True,0.3028221599508664,0.6130087769832852,-1.0604541295401744,150,True,40.53,0.562446,3.673511,5.180022,0.060979,0.422846,54.469829,0.728855,
31,True,3.127598270878096e-25,3.1275982708688905e-25,2.2862232863229416e-34,10,True,2.05,0.479010,3.245795,3.260242,0.153495,0.595114,20.406844,1.213065,
32,True,0.41184337182165626,0.5471803366386787,-1.4694642958196453,21,True,8.46,0.485708,2.286015,5.997514,0.102224,0.343660,8.809385,0.680632,
33,True,0.3000000000002848,0.3000000000008344,-0.2257941382111005,14,True,5.12,0.276647,3.562701,1.140396,0.230335,0.601956,24.358713,0.593166,
34,True,0.49584228663274615,0.3796278016518011,-1.9221097658135848,16,True,6.29,0.271857,2.671268,5.017057,0.201016,0.207674,51.244615,0.453456,
35,True,3.127598270878096e-25,3.1275982708688905e-25,4.979924105767747e-34,10,True,3.71,0.537058,4.711751,1.358743,0.243129,0.625741,61.826524,1.311180,
36,True,0.3233605498828951,0.4735214211499997,-0.8935461897200909,13,True,5.64,0.380369,2.420173,5.776334,0.271270,0.481834,30.410499,0.490403,
37,True,3.127598270878096e-25,3.1275982708688905e-25,4.476706950312431e-36,10,True,3.85,0.251245,4.588306,2.917534,0.188448,0.258561,12.742253,0.824027,
38,True,3.127598270878096e-25,3.1275982708688905e-25,3.372821626163911e-36,10,True,4.06,0.325722,1.627711,3.088451,0.219894,0.529446,86.085645,0.802719,
39,True,3.127598270878096e-25,3.1275982708688905e-25,8.883041860887298e-36,10,True,4.20,0.451271,2.865543,4.160637,0.158410,0.304955,65.024991,0.879573,
40,True,3.127598270878096e-25,3.1275982708688905e-25,1.8364256783265943e-34,10,True,4.31,0.311652,2.745480,4.376326,0.123753,0.364288,83.850728,1.186818,
41,True,0.597526262971078,0.3886441882702719,-2.4124287160963673,18,True,6.40,0.421011,1.278100,2.489833,0.110833,0.549480,63.135285,0.585621,
42,True,0.2986868744677682,0.31034983303587943,-1.9673624230994313,11,True,4.48,0.337251,4.207788,3.102043,0.265990,0.562205,56.443530,0.329304,
43,True,0.33487988426010057,0.31011365421017945,-1.1348431109966015,150,True,32.64,0.374924,1.837115,3.948578,0.075712,0.225372,31.706839,0.356650,
44,True,3.127598270878096e-25,3.1275982708688905e-25,1.135261475278909e-34,10,True,3.64,0.333868,1.068819,1.852212,0.177916,0.667674,10.138479,1.131207,
45,True,3.127598270878096e-25,3.1275982708688905e-25,1.368142864902926e-34,10,True,3.19,0.469380,2.089643,1.031426,0.208516,0.530511,25.350574,1.152458,
46,True,0.30000000002191335,0.30000000002572935,-0.5470096076369185,13,True,4.77,0.357373,4.877165,3.615144,0.296737,0.681956,71.041100,0.548810,
47,True,3.127598270878096e-25,3.1275982708688905e-25,3.5973484581674065e-34,10,True,3.32,0.461695,4.301209,5.279760,0.291526,0.571393,17.762215,1.269255,
48,True,3.127598270878096e-25,3.1275982708688905e-25,5.010381421792942e-36,10,True,4.21,0.287239,1.341943,5.591551,0.210320,0.388626,0.074016,0.832779,
49,True,3.127598270878096e-25,3.1275982708688905e-25,1.650442582702095e-36,10,True,2.52,0.227251,1.657390,1.620489,0.080270,0.277466,33.137863,0.753719,
