sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,rotation_deg,beta,error
29,True,1.7154589278503522e-24,1.7154589278491334e-24,1.141197871551833e-34,11,True,3.64,0.480849,1.158885,2.177034,0.229341,0.271934,48.380701,1.103848,
30,True,0.35238421262711656,0.33992728201648537,-1.4060319012699674,150,True,50.49,0.612446,3.673511,5.180022,0.060979,0.283708,54.469829,0.728855,
31,True,1.7154589278503522e-24,1.7154589278491334e-24,4.7949103788298555e-34,13,True,2.76,0.529010,3.245795,3.260242,0.153495,0.387068,20.406844,1.213065,
32,True,0.43511794810861915,0.4557893093612879,-0.4614989404161296,150,True,52.80,0.535708,2.286015,5.997514,0.102224,0.236196,8.809385,0.680632,
33,True,0.30000209089208985,0.3000020908920441,-0.768786480367197,150,True,26.44,0.326647,3.562701,1.140396,0.230335,0.391174,24.358713,0.593166,
34,True,0.4858032043730255,0.3865799653397404,-0.29578592008811616,150,True,53.67,0.321857,2.671268,5.017057,0.201016,0.154604,51.244615,0.453456,
35,True,1.7154589278503522e-24,1.7154589278491334e-24,7.676357538438266e-34,11,True,2.89,0.587058,4.711751,1.358743,0.243129,0.405445,61.826524,1.311180,
36,True,0.4227737673095474,0.4574057766883937,-0.9825701692875016,150,True,49.49,0.430369,2.420173,5.776334,0.271270,0.319101,30.410499,0.490403,
37,True,1.7154589278503522e-24,1.7154589278491334e-24,8.848221452028485e-37,14,True,4.39,0.301245,4.588306,2.917534,0.188448,0.185137,12.742253,0.824027,
38,True,1.7154589278503522e-24,1.7154589278491334e-24,5.2926652160337226e-37,13,True,4.43,0.375722,1.627711,3.088451,0.219894,0.347668,86.085645,0.802719,
39,True,1.7154589278503522e-24,1.7154589278491334e-24,5.652918924163923e-36,13,True,4.77,0.501271,2.865543,4.160637,0.158410,0.212973,65.024991,0.879573,
40,True,1.7154589278503522e-24,1.7154589278491334e-24,4.280342409823471e-34,14,True,5.10,0.361652,2.745480,4.376326,0.123753,0.248573,83.850728,1.186818,
41,True,0.33743578795626805,0.33176463172420834,-2.1620331288466206,150,True,41.63,0.471011,1.278100,2.489833,0.110833,0.359688,63.135285,0.585621,
42,True,0.3577295716995326,0.31178300154407546,-2.2950544404235655,27,True,9.18,0.387251,4.207788,3.102043,0.265990,0.367323,56.443530,0.329304,
43,True,0.39858151858826163,0.3996827028746567,-0.14445990675593712,150,True,31.72,0.424924,1.837115,3.948578,0.075712,0.165223,31.706839,0.356650,
44,True,1.7154589278503522e-24,1.7154589278491334e-24,1.6981506874242607e-34,12,True,2.74,0.383868,1.068819,1.852212,0.177916,0.430605,10.138479,1.131207,
45,True,1.7154589278503522e-24,1.7154589278491334e-24,1.8437115936307848e-34,11,True,2.40,0.519380,2.089643,1.031426,0.208516,0.348307,25.350574,1.152458,
46,True,0.3000000149411557,0.30000001494115414,-0.5133688761017706,150,True,32.45,0.407373,4.877165,3.615144,0.296737,0.439174,71.041100,0.548810,
47,True,1.7154589278503522e-24,1.7154589278491334e-24,4.2224639818359954e-34,10,True,2.03,0.511695,4.301209,5.279760,0.291526,0.372836,17.762215,1.269255,
48,True,1.7154589278503522e-24,1.7154589278491334e-24,3.504468910702987e-36,11,True,4.31,0.337239,1.341943,5.591551,0.210320,0.263176,0.074016,0.832779,
49,True,0.3591911319359514,0.36285050106863603,-1.8055475947518593,59,True,14.61,0.277251,1.657390,1.620489,0.080270,0.196480,33.137863,0.753719,
