iterations,volume_fractions,poisson_ratios_v12,poisson_ratios_v21
1,0.374639999999988,0.287902927638302,0.287902927638304
2,0.399990291047744,0.251198493743066,0.251198493743065
3,0.400030098772947,0.287692121418137,0.287692121418139
4,0.400059424563756,0.215027872665617,0.215027872665615
5,0.400199181445569,0.190375676315797,0.190375676315809
6,0.400242782410779,0.132468129556579,0.132468129556592
7,0.400317457802016,0.0922378022499626,0.0922378022499584
8,0.400370943956921,0.0420156175221485,0.042015617522146
9,0.400328597031902,0.0302695370894259,0.0302695370893974
10,0.40037644527996,0.0213040159159041,0.0213040159159352
11,0.400331310877941,0.00902395759975362,0.00902395759978333
12,0.400463727770583,-0.0275714282116295,-0.0275714282120074
13,0.400415811493485,-0.0897266263817707,-0.0897266263820453
14,0.400356810138565,-0.162396502901262,-0.162396502898433
15,0.400278970623622,-0.231637550189464,-0.231637550186685
16,0.400215219361524,-0.291323455439407,-0.291323455440341
17,0.40015878992434,-0.343103916412687,-0.343103916420729
18,0.400135136915134,-0.381155912325781,-0.381155912326787
19,0.40010860339564,-0.413354505001214,-0.413354505059811
20,0.40010493674587,-0.429204744168032,-0.429204744310693
21,0.400090894257788,-0.446796607928011,-0.446796608021976
22,0.400073729243546,-0.451838050188855,-0.451838050236176
23,0.400063355023666,-0.468803924854177,-0.468803924836367
24,0.400056782165522,-0.475429270305628,-0.475429270362874
25,0.400044874154873,-0.487529113936543,-0.487529114099315
26,0.400036632018187,-0.490557534905814,-0.490557535129845
27,0.400031245508418,-0.49619483041023,-0.496194830545199
28,0.400024841363072,-0.496320858938102,-0.496320859033681
29,0.40001876963068,-0.501637057951073,-0.501637057995123
30,0.400016847874186,-0.501517829718095,-0.501517829712732
31,0.400014526443982,-0.506275749974883,-0.506275749946805
32,0.400012037746843,-0.505001431517683,-0.505001431631518
33,0.400010037039216,-0.508014301920898,-0.508014302122962
34,0.40000924732121,-0.50792903130778,-0.507929031637039
35,0.400010192199259,-0.50957766463735,-0.509577664949616
36,0.400011213018854,-0.509052112174341,-0.509052112377485
37,0.400012244265726,-0.508832576885855,-0.508832577100958
38,0.400013013779032,-0.508898664978588,-0.508898664872307
