sample_id,seed,objective,success,v12,v21,obj_value,n_iters,converged,elapsed_time,error,E0,Emin,ft,max_iter,move,nelx,nely,nu,penal,rmin,save_every,scale_factor,tol_change,tol_obj,verbose,void_size_frac,volfrac,window_size
23,hourglass,auxetic,True,-0.6332371995479514,-0.41033851237090296,0.046063512902867476,84,True,12.43,,199.0,1e-09,2,150,0.117605,50,50,0.3,3.590301,1.086556,9999,1,0.01,0.05,False,0.367714,0.564351,20
24,hourglass,auxetic,True,-0.6561911702267895,-0.4313745994154228,0.1350721916477109,150,True,21.69,,199.0,1e-09,2,150,0.082943,50,50,0.3,2.761818,1.20413,9999,1,0.01,0.05,False,0.285218,0.534374,20
25,hourglass,auxetic,True,-0.6248606923962031,-0.41119767968713217,0.15568685574284769,150,True,21.69,,199.0,1e-09,2,150,0.104087,50,50,0.3,3.088753,1.230325,9999,1,0.01,0.05,False,0.30219,0.552425,20
26,hourglass,auxetic,True,-0.6697040569867954,-0.45234235545480467,0.05227388345265416,150,True,20.96,,199.0,1e-09,2,150,0.09959,50,50,0.3,2.978837,1.058364,9999,1,0.01,0.05,False,0.328794,0.554674,20
27,hourglass,auxetic,True,-0.6498421423588376,-0.4458558240188291,0.047580989383678385,150,True,20.93,,199.0,1e-09,2,150,0.123637,50,50,0.3,3.013127,1.116832,9999,1,0.01,0.05,False,0.354912,0.558021,20
28,hourglass,auxetic,True,-0.6206552618464447,-0.405969373529534,0.1130524780047315,150,True,20.35,,199.0,1e-09,2,150,0.092225,50,50,0.3,2.72532,1.184001,9999,1,0.01,0.05,False,0.332011,0.550228,20
29,hourglass,auxetic,True,-0.6246782327554593,-0.4490810010154579,0.11315532782731141,59,True,8.64,,199.0,1e-09,2,150,0.131541,50,50,0.3,3.052825,1.242569,9999,1,0.01,0.05,False,0.321367,0.572634,20
30,hexagonal,auxetic,True,-0.07061365839795312,-0.197657029321391,0.6960968646583263,150,True,20.08,,199.0,1e-09,2,150,0.119917,50,50,0.3,2.657042,1.233055,9999,1,0.01,0.05,False,0.287437,0.548805,20
31,hexagonal,auxetic,True,7.381190706604047e-12,0.2968435013485703,1.0518863926160325,66,True,9.64,,199.0,1e-09,2,150,0.081824,50,50,0.3,3.438033,1.18564,9999,1,0.01,0.05,False,0.322518,0.519598,20
32,hexagonal,auxetic,True,-0.5002475660903911,-0.568488529995328,0.06778557408756314,150,True,20.45,,199.0,1e-09,2,150,0.093308,50,50,0.3,3.553216,1.110989,9999,1,0.01,0.05,False,0.357505,0.557579,20
