Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.863600
1,0.281238,0.281238,3.357755,0.746212
2,0.266724,0.266724,2.169751,0.628823
3,0.266724,0.266724,1.960544,0.605933
4,0.139058,0.139058,1.635225,0.626955
5,0.058638,0.058638,1.566315,0.626956
6,0.102550,0.102550,1.468221,0.626956
7,0.080413,0.080413,1.396999,0.626954
8,0.082711,0.082711,1.335644,0.626954
9,0.046396,0.046396,1.218277,0.626954
10,-0.009144,-0.009144,1.143967,0.626955
11,-0.036555,-0.036555,1.032475,0.626955
12,-0.081223,-0.081223,0.936347,0.626955
13,-0.111622,-0.111622,0.857757,0.626956
14,-0.140526,-0.140526,0.808038,0.626955
15,-0.148795,-0.148795,0.756788,0.626954
16,-0.181516,-0.181516,0.707880,0.626955
17,-0.199417,-0.199417,0.662331,0.626955
18,-0.233359,-0.233359,0.624907,0.626955
19,-0.265941,-0.265941,0.592587,0.626956
20,-0.290641,-0.290641,0.562412,0.626954
21,-0.314151,-0.314151,0.540981,0.626954
22,-0.334546,-0.334546,0.525546,0.626956
23,-0.341011,-0.341011,0.515654,0.626955
24,-0.346431,-0.346431,0.510979,0.626954
25,-0.344941,-0.344941,0.508853,0.626954
26,-0.356697,-0.356697,0.506470,0.626956
27,-0.352422,-0.352423,0.505212,0.626955
28,-0.364570,-0.364570,0.504305,0.626956
29,-0.358370,-0.358371,0.503394,0.626955
30,-0.368225,-0.368227,0.502858,0.626954
31,-0.359981,-0.359987,0.502701,0.626955
32,-0.373731,-0.373738,0.502324,0.626956
33,-0.367541,-0.367572,0.501948,0.626954
34,-0.377512,-0.377677,0.501540,0.626955
35,-0.368519,-0.368692,0.501273,0.626955
36,-0.379990,-0.380109,0.501274,0.626955
37,-0.370059,-0.369954,0.501099,0.626954
38,-0.381689,-0.381562,0.501152,0.626956
39,-0.370248,-0.370062,0.500963,0.626955
40,-0.381988,-0.381552,0.501257,0.626954
41,-0.370674,-0.370057,0.501020,0.626954
42,-0.382136,-0.381386,0.501459,0.626955
43,-0.370862,-0.369986,0.501101,0.626956
44,-0.381256,-0.380724,0.501520,0.626955
45,-0.370437,-0.370113,0.501125,0.626956
46,-0.378417,-0.379793,0.501591,0.626956
47,-0.368182,-0.369807,0.501341,0.626956
48,-0.376090,-0.377724,0.501744,0.626955
49,-0.365730,-0.367196,0.501548,0.626956
50,-0.376089,-0.376268,0.502080,0.626955
51,-0.365433,-0.365211,0.502077,0.626955
52,-0.376272,-0.373682,0.502889,0.626956
53,-0.365632,-0.362259,0.503415,0.626956
54,-0.376332,-0.371167,0.503903,0.626955
55,-0.366069,-0.361353,0.504223,0.626955
56,-0.375459,-0.370851,0.504281,0.626955
57,-0.365382,-0.361263,0.504662,0.626954
58,-0.376017,-0.371445,0.504429,0.626956
59,-0.365645,-0.361710,0.504876,0.626956
60,-0.376345,-0.371902,0.504628,0.626954
61,-0.365857,-0.362060,0.505159,0.626955
62,-0.376209,-0.372031,0.504867,0.626956
63,-0.365914,-0.362183,0.505493,0.626956
64,-0.375581,-0.371800,0.505205,0.626955
65,-0.365844,-0.362016,0.505803,0.626955
66,-0.375577,-0.371702,0.505440,0.626954
67,-0.365896,-0.362008,0.506028,0.626955
68,-0.375610,-0.371694,0.505568,0.626956
69,-0.365912,-0.361994,0.506144,0.626955
70,-0.375629,-0.371675,0.505631,0.626954
71,-0.365923,-0.361981,0.506187,0.626955
72,-0.375642,-0.371660,0.505681,0.626955
73,-0.365931,-0.361970,0.506217,0.626955
74,-0.375651,-0.371645,0.505728,0.626956
75,-0.365936,-0.361960,0.506247,0.626956
76,-0.375657,-0.371631,0.505765,0.626954
77,-0.365939,-0.361948,0.506273,0.626954
78,-0.375661,-0.371613,0.505813,0.626955
79,-0.365940,-0.361933,0.506304,0.626954
80,-0.375662,-0.371588,0.505870,0.626955
81,-0.365936,-0.361910,0.506345,0.626955
82,-0.375667,-0.371556,0.505938,0.626954
83,-0.365936,-0.361877,0.506400,0.626955
84,-0.375674,-0.371519,0.506008,0.626956
85,-0.365938,-0.361840,0.506460,0.626954
86,-0.375675,-0.371483,0.506071,0.626955
87,-0.365939,-0.361806,0.506516,0.626955
88,-0.375669,-0.371452,0.506121,0.626956
89,-0.365933,-0.361778,0.506560,0.626954
90,-0.375664,-0.371428,0.506164,0.626954
91,-0.365931,-0.361756,0.506597,0.626954
92,-0.375652,-0.371415,0.506189,0.626955
93,-0.365921,-0.361744,0.506615,0.626954
94,-0.375652,-0.371411,0.506198,0.626955
95,-0.365921,-0.361742,0.506620,0.626955
96,-0.375651,-0.371408,0.506206,0.626955
97,-0.365920,-0.361741,0.506625,0.626955
98,-0.375649,-0.371407,0.506213,0.626955
99,-0.365918,-0.361741,0.506629,0.626956
100,-0.375646,-0.371407,0.506218,0.626956
101,-0.365916,-0.361742,0.506632,0.626955
102,-0.375641,-0.371408,0.506224,0.626955
103,-0.365913,-0.361744,0.506636,0.626955
104,-0.375636,-0.371409,0.506227,0.626955
105,-0.365909,-0.361745,0.506639,0.626955
106,-0.375629,-0.371411,0.506231,0.626955
107,-0.365904,-0.361747,0.506642,0.626954
108,-0.375628,-0.371413,0.506238,0.626954
109,-0.365904,-0.361748,0.506649,0.626956
110,-0.375626,-0.371414,0.506242,0.626956
111,-0.365904,-0.361749,0.506655,0.626954
112,-0.375628,-0.371415,0.506251,0.626955
113,-0.365907,-0.361750,0.506666,0.626954
114,-0.375624,-0.371416,0.506256,0.626955
115,-0.365905,-0.361751,0.506673,0.626955
116,-0.375619,-0.371418,0.506261,0.626955
117,-0.365902,-0.361752,0.506680,0.626955
118,-0.375614,-0.371418,0.506267,0.626955
119,-0.365899,-0.361753,0.506688,0.626954
120,-0.375607,-0.371419,0.506273,0.626956
121,-0.365894,-0.361753,0.506696,0.626954
122,-0.375597,-0.371418,0.506278,0.626955
123,-0.365887,-0.361753,0.506704,0.626955
