iterations,volume_fractions,poisson_ratios_v12,poisson_ratios_v21
1,0.376879999999988,0.28145429773731,0.281454297737305
2,0.399998725157007,0.260220793711943,0.260220793711953
3,0.399999814479362,0.292337875006603,0.292337875006608
4,0.399997805495995,0.256205847398623,0.256205847398642
5,0.400000190913172,0.277896352981188,0.277896352981216
6,0.399996713130394,0.239115180440322,0.239115180440356
7,0.400000725773904,0.237340085236112,0.237340085236176
8,0.39999485712188,0.234203699203797,0.2342036992039
9,0.40000265854527,0.198630672753155,0.198630672753362
10,0.400004446663423,0.154803990451622,0.15480399045181
11,0.35542458570685,0.0664525990367572,0.0664525990368503
12,0.316239459363792,0.0172590329637147,0.0172590329637427
13,0.314333784333453,0.0353958792616866,0.0353958792617594
14,0.297388017737365,-0.0253594935787707,-0.0253594935788069
15,0.34335801104054,-0.0936806500058391,-0.0936806500059786
16,0.355879988951559,-0.207057679573495,-0.207057679573816
17,0.3979972577427,-0.298274526995089,-0.298274526995456
18,0.399951126238888,-0.407245820394585,-0.407245820395056
19,0.39990555514794,-0.459148832719255,-0.459148832719743
20,0.39990743088438,-0.520195672561212,-0.520195672561807
21,0.39991381148259,-0.573067082870505,-0.573067082871735
22,0.399921499349123,-0.626228765491681,-0.626228765493509
23,0.399933217283776,-0.628835208403102,-0.628835208404472
24,0.399936656576968,-0.642416409245003,-0.642416409252315
25,0.399944091722471,-0.623176187644614,-0.623176187627498
26,0.399933360918256,-0.625692945748933,-0.62569294573429
27,0.399935753948455,-0.6119709672731,-0.611970967247379
28,0.399946940682263,-0.618254381660335,-0.618254381631914
29,0.399950434020678,-0.615226297130595,-0.615226297081716
30,0.399949464817434,-0.610317095096601,-0.610317095071299
31,0.39995251851916,-0.620992607524444,-0.620992607639682
32,0.399957887223779,-0.624082602011239,-0.624082601936594
33,0.399962976818311,-0.6277184400359,-0.627718439834868
34,0.399966898821079,-0.630123817638448,-0.630123817366153
35,0.399972901720329,-0.633810277881407,-0.633810277816896
36,0.399973414368366,-0.635429779841248,-0.635429779593208
37,0.399977127206946,-0.636891689406656,-0.636891689229794
38,0.399979991020807,-0.638882810896929,-0.638882810495236
39,0.399983165248769,-0.639623168022021,-0.639623167974374
40,0.399988063088387,-0.639834576213247,-0.639834575806751
41,0.399987809697927,-0.638295820090697,-0.63829581990369
