iterations,volume_fractions,poisson_ratios_v12,poisson_ratios_v21
1,0.370699999999988,0.254790591056284,0.279958136645193
2,0.400002146986784,0.260903289618186,0.268925710171611
3,0.400000120463411,0.29842077256475,0.30313227025136
4,0.39999953954977,0.298033183415387,0.299753260013396
5,0.399998642047286,0.303906122678863,0.307048315344356
6,0.400000254097744,0.306690986815979,0.307456441541367
7,0.399998435505652,0.304815599278986,0.306671666802773
8,0.400000155387975,0.30735018634683,0.309782285276642
9,0.400001277644337,0.304945248601495,0.305925044921909
10,0.400001086842735,0.306734616932636,0.31109241752113
11,0.399999244317416,0.304405864355304,0.305044975844213
12,0.399999753076201,0.305332161879418,0.31157546107077
13,0.399999399559824,0.303401162901937,0.304399444934861
14,0.400000849454686,0.30324122933792,0.311425285276464
15,0.40000012626965,0.30198678591279,0.303932190044173
16,0.399998596345831,0.300111524474524,0.310983434488268
17,0.399998502575906,0.2997199193492,0.303329640985962
18,0.400000632467924,0.294638164700628,0.3101639062053
19,0.40000187251058,0.29519163301832,0.30218388575666
20,0.399999633087614,0.282522735275967,0.308601235278411
21,0.299999633087614,0.272537447936418,0.317954101560077
22,0.204539439219863,0.224851672110615,0.325218354234106
23,0.129779970616516,0.0921103701600351,0.28399411051859
24,0.107909699433655,-0.000381007585295934,-0.0595587471181914
25,0.103435744030444,-0.293989056750416,-0.821599232273146
26,0.128380200932996,-0.359272583208314,-0.937437110982823
27,0.161083378474444,-0.434832890073635,-0.973299869350381
28,0.198906375242501,-0.43802064337776,-0.96389994860051
29,0.235815686867205,-0.47167112356806,-0.978375944997521
30,0.274222935184056,-0.467908384206747,-0.982744867820838
31,0.310541617576451,-0.482294229547368,-0.985144610444169
32,0.344238369231581,-0.498729430741692,-0.98493976093104
33,0.373502771073147,-0.516808785441802,-0.980421525577457
34,0.391146182040148,-0.5336598703702,-0.977096492580062
35,0.398462449912848,-0.545295397267511,-0.986805860728838
36,0.400006374760213,-0.553944498178065,-0.991114451837371
37,0.399997192834743,-0.562388466951881,-0.994423441790406
38,0.399995045711449,-0.567847509703275,-0.997215407107463
39,0.399988419097024,-0.57814107526404,-0.999640875161285
40,0.399996230634932,-0.580964729531697,-1.00083666970993
41,0.399988853800426,-0.58329896377174,-1.00150011818889
42,0.400016412153956,-0.581127318360567,-1.0017059763911
43,0.400010709549438,-0.583530568055461,-1.00208550313429
44,0.399991341208407,-0.580614723837156,-1.00202366399372
45,0.400011370287512,-0.583946661690291,-1.00228698477382
46,0.400006599552021,-0.580688093120926,-1.00205900958289
47,0.400009535206199,-0.584258973385075,-1.00228317044981
48,0.399988140107307,-0.580495305565773,-1.00198866196912
49,0.400002736955111,-0.584676495250266,-1.0022921653345
50,0.399998912260571,-0.58135328871581,-1.00203943495965
51,0.40000278360977,-0.585127515168319,-1.00232077833861
52,0.400004915570662,-0.58136015414395,-1.00204118005111
53,0.399998618230674,-0.585127619648526,-1.00232163427911
54,0.400000197084336,-0.581359973526331,-1.00204135498327
55,0.399998834729562,-0.585127466480986,-1.00232174179258
