config,sample_id,pair_idx,volfrac,void_size_frac,v12,v21,Q11,Q22,converged,n_iters,hit_cap,is_connected,n_components,degenerate,volfrac_achieved,osc_score,osc_unstable,is_clean,elapsed_s
q12,q12_00005,5,0.5016467595436642,0.37699098521619945,-0.7749128277776746,-0.654350857755461,23.56295803444405,19.897001634766212,True,47,False,True,1,False,0.5016464190150834,0.05460161764420425,False,True,7.09939169883728
normalized,normalized_00005,5,0.5016467595436642,0.37699098521619945,-0.715402059908106,-0.6745330837287066,16.053502391529285,15.133505466342726,True,150,True,False,2,False,0.6574098180890269,0.1808007396053322,True,False,21.674845933914185
q12,q12_00001,1,0.5585595153449123,0.3398658484197037,-0.6332267510706908,-0.6674467041361606,24.13489306895953,25.439157163865378,True,100,False,True,1,False,0.5585595896179335,0.003202889802586428,False,True,13.919435024261475
normalized,normalized_00001,1,0.5585595153449123,0.3398658484197037,-0.9425238194019581,-0.9233424110292278,10.270474327062908,10.061404873021552,True,150,True,True,1,False,0.5585593544911341,0.061383941631264746,False,True,21.57395339012146
q12,q12_00002,2,0.5124814912353949,0.2955994520336203,-0.7139818651135861,-0.6997626649048532,22.687068719055983,22.234540083649158,True,107,False,True,1,False,0.5124813167134342,0.0008253806508671735,False,True,15.029334306716919
normalized,normalized_00002,2,0.5124814912353949,0.2955994520336203,-0.9201469854945643,-0.7939035057964758,9.656747397406853,8.318141478509988,True,150,True,False,3,False,0.5124817110198987,0.5491269488347625,True,False,21.930686473846436
q12,q12_00006,6,0.5665954112640337,0.30123391106782765,-0.6042355840323185,-0.7215462890809551,22.88220091600988,27.324718359834502,True,119,False,True,1,False,0.5665951770224997,0.017373692671105907,False,True,16.352545738220215
normalized,normalized_00006,6,0.5665954112640337,0.30123391106782765,-0.8929005780762553,-0.8859683793178853,10.062810258260942,9.99243746742767,True,150,True,False,4,False,0.5665959324725394,0.10911265890880259,False,False,21.08884572982788
q12,q12_00009,9,0.5345556014913693,0.3091229140198042,-0.7060139269316447,-0.6576439026038027,24.466406865587203,22.790178710981273,True,111,False,True,1,False,0.534555079427146,0.0004624474301923105,False,True,17.318572282791138
normalized,normalized_00009,9,0.5345556014913693,0.3091229140198042,-0.9386977331135165,-0.8790015103239418,9.929103287978363,9.294482021283038,True,150,True,True,1,False,0.5345556437026012,0.10524340224291709,False,True,22.02866268157959
