sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,rotation_deg,beta,error
0,True,0.26350630728081476,0.2784861473544821,-1.335736239462877,150,True,50.35,0.579808,1.524890,2.814140,0.166513,0.209435,43.243880,0.761733,
1,True,1.7154589278503522e-24,1.7154589278491334e-24,3.745332641046218e-35,10,True,3.55,0.483711,2.589751,4.454961,0.263146,0.420439,4.241043,1.000254,
2,True,1.7154589278503522e-24,1.7154589278491334e-24,8.691766697369821e-33,15,True,5.29,0.398453,4.821821,1.544542,0.119681,0.217034,36.663004,1.433806,
3,True,0.4745536197621526,0.4114709068786661,-1.312405962549675,150,True,53.70,0.287164,3.882344,5.810688,0.191108,0.412832,49.559902,0.442949,
4,True,0.3615461305404265,0.3302147547658441,-2.462583316386671,150,True,52.52,0.632766,2.145356,1.925524,0.220162,0.316045,2.933173,0.384731,
5,True,0.2722302684848583,0.2792654138715093,-1.1459736555748983,21,True,7.09,0.256484,1.949606,1.752430,0.173865,0.265981,58.613127,0.688016,
6,True,1.7154589278503522e-24,1.7154589278491334e-24,1.3319321004039791e-34,17,True,7.08,0.308398,1.215011,5.316774,0.095976,0.309675,19.281009,1.075620,
7,True,1.7154589278503522e-24,1.7154589278491334e-24,1.2218075058258439e-34,24,True,8.41,0.344882,3.864007,4.699264,0.056065,0.434011,22.130702,1.049263,
8,True,1.7154589278503522e-24,1.7154589278491334e-24,1.0025099060965738e-32,16,True,5.12,0.414329,1.434501,2.586020,0.109427,0.277990,67.552027,1.414434,
9,True,0.3722286283960373,0.6308526097268269,-1.2496259317841734,150,True,50.11,0.451880,3.189223,4.544642,0.052204,0.328176,73.744528,0.625519,
10,True,0.4644873048109721,0.4123082832628697,-1.341287833175886,150,True,53.14,0.440283,4.407318,5.414660,0.088830,0.419650,46.293509,0.508954,
11,True,1.7154589278503522e-24,1.7154589278491334e-24,1.1283299679994278e-33,10,True,3.45,0.636705,3.115437,2.721610,0.281678,0.381562,11.134763,1.399993,
12,True,0.4505293257316401,0.32204414688246163,-1.831190466560973,150,True,55.02,0.265818,4.112796,4.827764,0.287691,0.245032,27.898119,0.320345,
13,True,1.7154589278503522e-24,1.7154589278491334e-24,7.69581678450771e-34,13,True,4.46,0.548429,4.644307,3.461898,0.163492,0.290218,42.548737,1.257896,
14,True,1.7154589278503522e-24,1.7154589278491334e-24,1.0126022339043685e-35,12,True,4.14,0.369056,2.923048,1.209142,0.196501,0.400405,79.255483,0.905310,
15,True,0.23524842805987728,0.2398079462116722,-2.1088935564493108,150,True,49.78,0.460265,3.524051,3.372776,0.094518,0.198584,78.379603,0.655143,
16,True,0.4167213905327641,0.4167213905327265,-0.8943230580746716,150,True,53.37,0.623552,3.033662,4.782323,0.065717,0.337449,76.104967,0.409630,
17,True,1.7154589278503522e-24,1.7154589278491334e-24,2.404837531864599e-34,10,True,3.24,0.540982,3.353272,3.535015,0.259578,0.171505,53.925094,1.200144,
18,True,1.7154589278503522e-24,1.7154589278491334e-24,2.0667182374962055e-35,13,True,4.66,0.559361,3.788438,2.089660,0.147062,0.334976,37.934784,0.958055,
19,True,1.7154589278503522e-24,1.7154589278491334e-24,3.328823136228882e-33,11,True,3.99,0.567225,3.992727,4.997720,0.245207,0.177106,88.591077,1.498014,
20,True,1.7154589278503522e-24,1.7154589278491334e-24,5.370668496500544e-34,10,True,4.27,0.350107,2.800743,5.606217,0.277141,0.363159,35.519444,1.300042,
21,True,1.7154589278503522e-24,1.7154589278491334e-24,1.3398083096867614e-33,12,True,3.88,0.445835,2.484887,1.497839,0.180869,0.228623,41.147552,1.342703,
22,True,1.7154589278503522e-24,1.7154589278491334e-24,3.485598076895226e-35,10,True,3.50,0.273131,2.226221,4.071877,0.251703,0.157638,81.416435,0.993414,
23,True,1.7154589278503522e-24,1.7154589278491334e-24,6.9367828867641316e-37,18,True,6.04,0.290672,4.181583,2.296259,0.132226,0.447774,68.706378,0.856602,
24,True,1.7154589278503522e-24,1.7154589278491334e-24,1.5733298839555655e-35,14,True,4.93,0.575463,1.963768,3.770908,0.127425,0.304464,5.515122,0.944049,
25,True,1.7154589278503522e-24,1.7154589278491334e-24,5.167521216247232e-35,14,True,4.86,0.649641,3.445192,3.800762,0.135542,0.295508,14.596574,1.022557,
26,True,1.7154589278503522e-24,1.7154589278491334e-24,7.369494821026752e-32,20,True,6.58,0.605849,4.974726,4.222799,0.071692,0.225758,75.429960,1.458077,
