sample_id,objective,seed,batch,volfrac,move,rmin,penal,void_size_frac,rotation_deg,beta,beta_second,best_obj_value,poisson_ratio,eigenfreq_1,eigenfreq_2,compliance,volume_fraction_final,n_iter,converged,elapsed_time,topology_path
auxetic_circle_027,auxetic,circle,phase1,0.510158,0.173145,4.444515,1.317007,0.641702,61.545147,,,58.4564723622311,0.18490711719023117,,,,0.510158,150,True,51.7,./circle/auxetic/sample_0027/iteration_00150.png
auxetic_circle_028,auxetic,circle,phase1,0.365463,0.167425,3.470908,1.883768,0.22744,10.915122,,,33.298361553764686,0.28005901466459443,,,,0.365462,150,True,50.85,./circle/auxetic/sample_0028/iteration_00150.png
auxetic_circle_029,auxetic,circle,phase1,0.590683,0.190038,5.45649,1.556407,0.381083,47.252506,,,64.12777740276691,0.1496477693660185,,,,0.590682,150,True,33.81,./circle/auxetic/sample_0029/iteration_00150.png
auxetic_circle_030,auxetic,circle,phase1,0.520874,0.18342,4.648114,4.048524,0.60228,56.40901,,,71.1737678582503,0.07948290716164139,,,,0.520873,43,True,15.38,./circle/auxetic/sample_0030/iteration_00043.png
auxetic_circle_031,auxetic,circle,phase1,0.285011,0.258688,1.125321,4.592443,0.540632,51.766253,,,11.244305472412357,0.1262965970425428,,,,0.285011,27,True,9.96,./circle/auxetic/sample_0031/iteration_00027.png
auxetic_circle_032,auxetic,circle,phase1,0.471018,0.154104,1.384672,1.173511,0.614006,14.625788,,,32.563957798304,0.2180516118480414,,,,0.471018,150,True,52.27,./circle/auxetic/sample_0032/iteration_00150.png
auxetic_circle_033,auxetic,circle,phase1,0.246429,0.185141,3.12226,3.935174,0.304993,6.940984,,,9.29685194582183,0.300000000052565,,,,0.246429,32,True,10.27,./circle/auxetic/sample_0033/iteration_00032.png
auxetic_circle_034,auxetic,circle,phase1,0.319889,0.281612,3.686818,3.541628,0.578782,22.488606,,,11.067197279502686,0.2999999999949291,,,,0.319889,33,True,11.9,./circle/auxetic/sample_0034/iteration_00033.png
auxetic_circle_035,auxetic,circle,phase1,0.458446,0.260979,4.180022,3.833511,0.632846,7.669829,,,50.678335295715165,0.09309406399661375,,,,0.458445,51,True,18.56,./circle/auxetic/sample_0035/iteration_00051.png
auxetic_circle_036,auxetic,circle,phase1,0.294952,0.128012,4.307244,2.3501,0.566991,40.520549,,,8.28567692085936,0.29999999999007054,,,,0.294952,109,True,37.7,./circle/auxetic/sample_0036/iteration_00109.png
auxetic_circle_037,auxetic,circle,phase1,0.346697,0.210376,4.071355,4.44355,0.629751,27.800644,,,15.154651965373485,0.29999999999400107,,,,0.346698,73,True,18.28,./circle/auxetic/sample_0037/iteration_00073.png
auxetic_circle_038,auxetic,circle,phase1,0.474928,0.142904,5.185966,1.071528,0.320338,65.527123,,,26.682695808033664,0.37363785442473,,,,0.474929,150,True,47.85,./circle/auxetic/sample_0038/iteration_00150.png
auxetic_circle_039,auxetic,circle,phase1,0.368536,0.196076,5.353262,3.415651,0.459822,5.203541,,,37.608232586300296,0.18948337620042363,,,,0.368535,46,True,8.54,./circle/auxetic/sample_0039/iteration_00046.png
auxetic_circle_040,auxetic,circle,phase1,0.569365,0.112346,2.576736,1.416255,0.58394,36.23807,,,79.93993742037182,0.15686342579882687,,,,0.569365,150,True,44.21,./circle/auxetic/sample_0040/iteration_00150.png
auxetic_circle_041,auxetic,circle,phase1,0.515175,0.287871,1.862582,2.566994,0.333481,18.238517,,,62.27672753755739,0.14984340364054868,,,,0.515175,30,True,5.5,./circle/auxetic/sample_0041/iteration_00030.png
auxetic_circle_042,auxetic,circle,phase1,0.396369,0.20127,2.376334,2.420173,0.341834,86.210499,,,32.086715293859285,0.18443128874808304,,,,0.396368,31,True,10.99,./circle/auxetic/sample_0042/iteration_00031.png
auxetic_circle_043,auxetic,circle,phase1,0.407468,0.250877,1.285383,3.032445,0.426897,87.941031,,,28.987447200428747,0.11527393738517135,,,,0.407468,22,True,7.3,./circle/auxetic/sample_0043/iteration_00022.png
auxetic_circle_044,auxetic,circle,phase1,0.536632,0.099232,4.771528,2.826757,0.268845,80.961934,,,87.66970743832512,0.20852051034076086,,,,0.536633,44,True,15.12,./circle/auxetic/sample_0044/iteration_00044.png
