Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.926000
1,0.294224,0.294224,4.148418,0.773630
2,0.287742,0.287742,2.275226,0.621261
3,0.287742,0.287742,1.879170,0.518676
4,0.227692,0.227692,1.784152,0.518676
5,0.110404,0.110404,1.670404,0.518676
6,0.106769,0.106769,1.550655,0.518676
7,0.084645,0.084645,1.341187,0.518677
8,0.107052,0.107052,1.257431,0.518677
9,0.103800,0.103800,1.260922,0.518675
10,0.102268,0.102268,1.223102,0.518676
11,0.094610,0.094610,1.226852,0.518676
12,0.090848,0.090848,1.190579,0.518676
13,0.073681,0.073681,1.172916,0.518677
14,0.074593,0.074593,1.144594,0.518675
15,0.042560,0.042560,1.071695,0.518676
16,-0.009884,-0.009884,0.962211,0.518676
17,-0.074421,-0.074421,0.846958,0.518675
18,-0.145825,-0.145825,0.743621,0.518676
19,-0.207785,-0.207785,0.664285,0.518676
20,-0.246591,-0.246591,0.609551,0.518676
21,-0.267540,-0.267540,0.573239,0.518676
22,-0.288664,-0.288664,0.546024,0.518677
23,-0.301177,-0.301177,0.527709,0.518676
24,-0.310959,-0.310959,0.517591,0.518675
25,-0.313389,-0.313389,0.513757,0.518677
26,-0.322672,-0.322672,0.511026,0.518676
27,-0.331299,-0.331299,0.508720,0.518676
28,-0.332553,-0.332553,0.508181,0.518675
29,-0.334004,-0.334004,0.507945,0.518676
30,-0.333795,-0.333796,0.507770,0.518677
31,-0.334249,-0.334250,0.507831,0.518676
32,-0.333704,-0.333705,0.507728,0.518676
33,-0.334156,-0.334158,0.507801,0.518676
34,-0.333694,-0.333698,0.507702,0.518676
35,-0.334107,-0.334112,0.507778,0.518675
36,-0.333680,-0.333683,0.507683,0.518676
37,-0.334071,-0.334059,0.507761,0.518676
38,-0.333697,-0.333611,0.507674,0.518676
39,-0.334135,-0.333800,0.507807,0.518676
40,-0.333931,-0.333660,0.507863,0.518675
41,-0.334045,-0.334116,0.508226,0.518676
42,-0.333107,-0.333818,0.508413,0.518675
43,-0.333039,-0.334240,0.508717,0.518676
44,-0.332131,-0.333758,0.508843,0.518675
45,-0.332325,-0.333868,0.509041,0.518677
46,-0.332484,-0.334017,0.509197,0.518677
47,-0.332776,-0.334088,0.509461,0.518675
48,-0.332982,-0.334172,0.509668,0.518675
49,-0.333354,-0.334317,0.509934,0.518676
50,-0.333501,-0.334514,0.510179,0.518676
51,-0.333795,-0.334774,0.510547,0.518677
52,-0.333916,-0.335152,0.510848,0.518675
53,-0.334220,-0.335422,0.511303,0.518676
54,-0.334153,-0.335630,0.511683,0.518676
55,-0.334501,-0.335967,0.511981,0.518676
56,-0.334686,-0.336442,0.511731,0.518677
57,-0.335196,-0.336882,0.511486,0.518676
58,-0.335057,-0.336949,0.511461,0.518675
59,-0.335202,-0.336944,0.511507,0.518676
60,-0.335034,-0.336986,0.511500,0.518676
61,-0.335176,-0.336984,0.511543,0.518676
62,-0.334996,-0.336986,0.511530,0.518676
63,-0.335243,-0.337088,0.511556,0.518676
64,-0.335206,-0.337185,0.511494,0.518677
65,-0.335562,-0.337461,0.511480,0.518677
66,-0.335335,-0.337446,0.511506,0.518676
67,-0.335398,-0.337405,0.511551,0.518676
68,-0.335094,-0.337195,0.511518,0.518676
69,-0.335287,-0.337336,0.511522,0.518676
70,-0.335080,-0.337165,0.511484,0.518676
71,-0.335302,-0.337345,0.511502,0.518675
72,-0.335096,-0.337158,0.511472,0.518676
73,-0.335306,-0.337314,0.511496,0.518676
74,-0.335089,-0.337116,0.511470,0.518676
75,-0.335308,-0.337314,0.511497,0.518675
76,-0.335086,-0.337101,0.511474,0.518676
77,-0.335304,-0.337300,0.511502,0.518676
78,-0.335078,-0.337075,0.511480,0.518677
79,-0.335291,-0.337264,0.511512,0.518676
80,-0.335060,-0.337031,0.511495,0.518676
81,-0.335268,-0.337213,0.511533,0.518677
82,-0.335028,-0.336956,0.511520,0.518677
83,-0.335229,-0.337120,0.511567,0.518676
84,-0.334992,-0.336820,0.511570,0.518676
85,-0.335209,-0.336933,0.511647,0.518675
86,-0.334979,-0.336570,0.511695,0.518676
87,-0.335184,-0.336595,0.511834,0.518676
88,-0.334921,-0.336159,0.511929,0.518676
89,-0.335017,-0.336098,0.512044,0.518676
90,-0.334891,-0.335818,0.512082,0.518676
91,-0.334895,-0.335786,0.512155,0.518676
92,-0.335169,-0.335883,0.512224,0.518676
93,-0.335188,-0.336045,0.512378,0.518676
94,-0.335473,-0.336068,0.512450,0.518676
95,-0.335586,-0.336306,0.512549,0.518675
96,-0.335771,-0.336266,0.512517,0.518676
97,-0.335957,-0.336617,0.512574,0.518676
98,-0.336071,-0.336690,0.512670,0.518676
99,-0.336178,-0.336968,0.512807,0.518675
100,-0.336280,-0.337073,0.512912,0.518675
101,-0.336523,-0.337414,0.512855,0.518676
102,-0.336874,-0.337731,0.512669,0.518675
103,-0.337112,-0.338116,0.512581,0.518676
104,-0.337322,-0.338288,0.512479,0.518677
105,-0.337330,-0.338484,0.512497,0.518676
106,-0.337269,-0.338397,0.512461,0.518676
107,-0.337219,-0.338454,0.512445,0.518675
108,-0.337200,-0.338500,0.512453,0.518677
109,-0.337183,-0.338636,0.512478,0.518676
110,-0.337176,-0.338783,0.512489,0.518675
111,-0.337175,-0.338936,0.512490,0.518675
112,-0.337179,-0.339072,0.512480,0.518676
113,-0.337184,-0.339189,0.512466,0.518677
114,-0.337179,-0.339255,0.512459,0.518676
115,-0.337180,-0.339271,0.512453,0.518675
116,-0.337197,-0.339331,0.512443,0.518675
117,-0.337208,-0.339359,0.512431,0.518675
118,-0.337222,-0.339391,0.512419,0.518677
119,-0.337233,-0.339408,0.512405,0.518675
120,-0.337245,-0.339429,0.512394,0.518676
121,-0.337256,-0.339439,0.512383,0.518677
122,-0.337257,-0.339427,0.512375,0.518676
