batch,seed,v12,v21,volfrac,penal,rmin,move,void_size_frac,volfrac_achieved,converged,is_connected,min_feature_ok,manufacturable,periodic_ok,passes_all
1,circle,-0.2927475411316991,-0.2928487011766115,0.505458,4.720058,1.818554,0.214202,0.27481,0.505459,True,True,True,True,False,False
1,circle,-0.2470827944258726,-0.2443739624516105,0.600054,2.147257,1.624888,0.057761,0.494796,0.579458,True,False,True,False,False,False
1,circle,-0.2057823960114546,-0.2057823960331311,0.696511,3.631907,2.41627,0.118506,0.371804,0.691114,True,True,True,True,False,False
1,circle,-0.2899177704876828,-0.3074848923201378,0.540834,3.310206,1.097485,0.159725,0.440133,0.540835,True,True,True,True,False,False
1,circle,-0.1598255697645018,-0.1684939121527683,0.572379,3.97294,1.422139,0.182982,0.421285,0.572379,True,True,True,True,False,False
1,circle,-0.3443239193153987,-0.3441223920570713,0.665084,2.900511,1.990909,0.139032,0.353009,0.665084,True,True,True,True,False,False
1,circle,-0.3656191158908211,-0.3656191158911696,0.631596,4.379206,1.293277,0.08724,0.51361,0.613033,True,True,True,True,False,False
1,circle,-0.2543744139929985,-0.254080297151097,0.474026,2.557143,2.236958,0.240943,0.293639,0.474027,True,False,True,False,False,False
1,circle,-0.098466968581207,-0.0984927759073166,0.680342,4.305692,1.584457,0.244789,0.464538,0.680341,True,True,True,True,False,False
1,circle,-0.2017009175960383,-0.1724076386881938,0.522939,2.378521,1.765604,0.077023,0.38461,0.522939,True,False,False,False,False,False
1,circle,-0.3107998400840533,-0.2981517537989982,0.496364,3.964246,1.150736,0.147491,0.48178,0.496364,True,True,True,True,False,False
1,circle,-0.0595723601189922,-0.0643228826334946,0.588749,2.785976,2.457138,0.180503,0.250029,0.57686,True,True,True,True,False,False
1,circle,-0.3726993053340502,-0.362459350307813,0.620195,3.553078,1.937682,0.151021,0.306326,0.614055,True,False,False,False,False,False
1,circle,-0.3338129033685385,-0.3331890471986838,0.464807,3.125547,1.381249,0.12074,0.538134,0.464807,True,True,True,True,False,False
1,circle,-0.2763934036578996,-0.284863817185511,0.554382,4.717034,2.277368,0.053769,0.328274,0.554382,True,True,True,True,False,False
1,circle,-0.1053946329561018,-0.1053946329802094,0.648781,2.039137,1.346252,0.224273,0.408223,0.645026,True,True,True,True,False,False
1,circle,-0.1574126467845123,-0.1764253366806577,0.529791,4.067322,2.190563,0.207444,0.523158,0.529792,True,True,True,True,False,False
1,circle,-0.3668375128764524,-0.3668375128767845,0.685209,2.994865,1.246976,0.064275,0.302547,0.644691,True,False,False,False,False,False
1,circle,-0.0825688658674921,-0.0828178559249259,0.595569,4.475052,2.038358,0.109457,0.432537,0.595569,True,True,True,True,False,False
1,circle,-0.2741818631434798,-0.2730203276953287,0.501262,2.652961,1.469493,0.168629,0.360214,0.501262,True,True,True,True,False,False
1,circle,-0.2271869855862926,-0.2454923888071091,0.469705,4.814618,1.050006,0.188763,0.379027,0.469705,True,True,True,True,False,False
1,circle,-0.1650944649091133,-0.1650944629350275,0.627016,2.2418,2.368856,0.133104,0.451366,0.626181,True,True,True,True,False,False
1,circle,-0.3065983604546641,-0.3197360143706587,0.653648,3.727932,1.671224,0.090626,0.2837,0.653648,True,True,True,True,False,False
1,circle,-0.2628208383781094,-0.2583409852577235,0.561233,3.406213,1.864826,0.237313,0.504364,0.556963,True,True,True,True,False,False
1,circle,-0.2176158743712466,-0.2088541415914064,0.481798,4.223141,1.744823,0.234964,0.306019,0.481799,True,True,True,True,True,True
1,circle,-0.0900704567511443,-0.0900704778943728,0.576837,3.045587,1.926036,0.092979,0.524228,0.576837,True,True,True,True,False,False
1,circle,-0.0695327164446515,-0.0695422664466024,0.672821,4.612194,1.029918,0.132314,0.35909,0.672821,True,True,True,True,False,False
1,circle,-0.3286080746802598,-0.3149986450632571,0.517646,2.684274,2.336254,0.189545,0.429121,0.517646,True,True,True,True,False,False
1,circle,-0.2598499143537979,-0.2342596926758407,0.548719,4.975938,2.105348,0.166296,0.447825,0.548718,True,True,True,True,True,True
1,circle,-0.2802854654149816,-0.2966335436639833,0.641866,2.298744,1.549032,0.111796,0.377735,0.641866,True,True,True,True,False,False
1,circle,-0.0960851486908292,-0.0934762148485027,0.607906,3.859589,2.1639,0.063496,0.505565,0.607877,True,True,True,True,False,False
1,circle,-0.2694081052004046,-0.2785859434161415,0.45084,3.431297,1.232667,0.208218,0.287333,0.45084,True,True,True,True,False,False
1,circle,-0.1994130679188742,-0.1994092113228922,0.601266,4.356774,2.263128,0.221931,0.383336,0.601266,True,True,True,True,False,False
1,circle,-0.3148014418699636,-0.3124684960426794,0.50815,2.533979,1.319429,0.056106,0.460978,0.50815,True,True,True,True,False,False
1,circle,-0.105694174121587,-0.1054833672339106,0.542046,3.995186,2.017061,0.11997,0.253645,0.542047,True,True,True,True,False,False
1,circle,-0.3275497900633629,-0.3275497900637312,0.699203,2.92349,1.448308,0.151799,0.482998,0.620655,True,True,True,True,False,False
1,circle,-0.3633320101654613,-0.3633320101659323,0.668249,3.609662,1.118156,0.178151,0.539186,0.563308,True,False,False,False,False,False
1,circle,-0.0620608746880376,-0.0663567946073056,0.573118,3.287228,2.436935,0.149835,0.309815,0.573118,True,True,True,True,False,False
1,circle,0.0679252635420855,0.0686240901713672,0.477191,4.74249,1.645553,0.076237,0.404826,0.477192,True,True,True,True,False,False
1,circle,-0.0735231782509609,-0.0735231782540688,0.632335,2.170422,1.839226,0.24558,0.32713,0.625259,True,True,True,True,False,False
1,circle,-0.2646841773563519,-0.2712105691235484,0.522215,4.692407,1.372771,0.243297,0.498432,0.522215,True,False,True,False,False,False
1,circle,-0.2608080187382867,-0.2608080187385436,0.677161,2.015242,2.303904,0.084891,0.276009,0.618692,True,True,True,True,False,False
1,circle,-0.4112937194984579,-0.4337605233867805,0.588025,3.577524,1.407786,0.139814,0.438843,0.588026,True,True,True,True,False,False
1,circle,-0.2490887731922145,-0.3068027346143273,0.493183,3.14926,1.964202,0.182192,0.36826,0.493183,True,True,True,True,False,False
1,circle,-0.102407688813722,-0.0974812841287664,0.46213,3.9398,2.477436,0.162065,0.349595,0.46213,True,True,True,True,False,False
1,circle,-0.333744749520077,-0.3337447495204761,0.618967,2.762263,1.17104,0.116174,0.420159,0.612497,True,False,False,False,False,False
1,circle,-0.1445649313660326,-0.1401168905159454,0.646103,4.330318,1.785908,0.058535,0.294711,0.646102,True,True,True,True,False,False
1,circle,-0.1987397151184154,-0.1967389745420047,0.553155,2.402415,1.604755,0.213423,0.517079,0.553154,True,True,True,True,False,False
1,circle,-0.1242853816758233,-0.1242853816667155,0.687888,3.704039,1.88517,0.206033,0.416351,0.686893,True,True,True,True,False,False
1,circle,-0.0249576123389775,-0.0328091473035453,0.53102,3.381587,1.691574,0.072249,0.334647,0.530872,True,True,True,True,False,False
1,circle,0.0756540265490515,0.0756540264963094,0.503941,4.838331,2.389206,0.101677,0.549046,0.503941,True,True,True,True,False,False
1,circle,-0.2873145420077266,-0.2728154701794431,0.596798,2.266246,1.070351,0.170239,0.318998,0.594501,True,True,True,True,False,False
1,circle,-0.0716586801972897,-0.07165880362881,0.627742,4.451339,1.496058,0.199713,0.262845,0.627742,True,True,True,True,False,False
1,circle,-0.350987635057444,-0.3701599984078857,0.472887,2.628516,2.06494,0.12842,0.492841,0.472887,True,True,True,True,True,True
1,circle,-0.2090660500254817,-0.195925257542623,0.561959,4.091217,1.273558,0.095507,0.390833,0.561959,True,True,True,True,False,False
1,circle,-0.2164672900225541,-0.2164672900227917,0.656831,3.019492,2.217128,0.226554,0.472523,0.635333,True,False,True,False,False,False
1,circle,-0.2236297829618723,-0.1978994082480679,0.455773,4.56982,1.998576,0.229815,0.518195,0.455774,True,True,True,True,False,False
1,circle,-0.2291832132051308,-0.2310839612294164,0.610673,2.747385,1.44226,0.098375,0.288761,0.600141,True,True,True,True,False,False
1,circle,-0.3341230429992251,-0.3624857227888103,0.638774,4.157329,2.22119,0.127894,0.425816,0.638775,True,False,False,False,False,False
1,circle,-0.3341331751109411,-0.3188102188682472,0.543886,3.085261,1.289957,0.194113,0.348185,0.543886,True,True,True,True,False,False
1,circle,-0.3688382928849182,-0.381679504162656,0.512929,3.817026,1.620106,0.173593,0.367032,0.51293,True,True,True,True,False,False
1,circle,-0.2650007393856687,-0.2650006628217526,0.669842,3.494231,1.801319,0.104643,0.444611,0.668237,True,True,True,True,False,False
1,circle,-0.3416961761269428,-0.3089122566731919,0.579718,4.909937,1.116138,0.071627,0.269947,0.579718,True,True,True,True,True,True
1,circle,0.0318597948525323,0.0296374474418577,0.486846,2.338241,2.422474,0.20033,0.499367,0.486182,True,True,True,True,False,False
1,circle,-0.0075986217146349,-0.0075986217134962,0.637024,4.061187,1.016922,0.217952,0.468952,0.635249,True,False,False,False,False,False
1,circle,0.022065983218243,0.0212613418909064,0.480203,2.883993,2.335701,0.060328,0.398946,0.480203,True,False,True,False,False,False
1,circle,-0.069277664566052,-0.0705730853503916,0.570269,4.399337,1.708382,0.115159,0.484436,0.57027,True,True,True,True,False,False
1,circle,-0.2352421448805599,-0.2352421448807987,0.663172,2.471045,1.902054,0.156756,0.266124,0.605699,True,False,False,False,False,False
1,circle,-0.2585781230007233,-0.2585899316090881,0.694241,4.808302,2.132963,0.186623,0.322458,0.694241,True,True,True,True,False,False
1,circle,-0.2494785284605495,-0.2332507701926411,0.539311,2.130748,1.189265,0.141513,0.540752,0.530915,True,False,False,False,False,False
1,circle,-0.3591013861074794,-0.3733913378380479,0.511275,3.652037,2.097835,0.083978,0.342648,0.511276,True,True,True,True,False,False
1,circle,-0.1934759983428944,-0.1947889679584069,0.606071,3.224116,1.529082,0.238084,0.412599,0.57993,True,True,True,True,False,False
1,circle,-0.071541601133394,-0.0726227629861334,0.556034,3.538056,2.376567,0.248057,0.279222,0.556035,True,True,True,True,False,False
1,circle,-0.3769628750734604,-0.3769628750739313,0.65115,3.215233,1.070171,0.079889,0.509134,0.62107,True,True,True,True,False,False
1,circle,-0.0781095192635351,-0.0779868565459785,0.614248,4.629502,1.849102,0.143844,0.374458,0.614248,True,True,True,True,True,True
