sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,rotation_deg,beta_second,error
38,True,1.7154589278503522e-24,1.7154589278491334e-24,-149.58297102591888,11,True,3.92,0.375722,1.627711,3.088451,0.219894,0.347668,86.085645,1.337865,
39,True,1.7154589278503522e-24,1.7154589278491334e-24,-291.7437819151612,13,True,4.19,0.501271,2.865543,4.160637,0.158410,0.212973,65.024991,1.465955,
40,True,1.7154589278503522e-24,1.7154589278491334e-24,-204.90436394273598,14,True,5.06,0.361652,2.745480,4.376326,0.123753,0.248573,83.850728,1.978030,
41,True,1.7154589278503522e-24,1.7154589278491334e-24,-171.49995514509996,15,True,3.25,0.471011,1.278100,2.489833,0.110833,0.359688,63.135285,0.976035,
42,True,1.7154589278503522e-24,1.7154589278491334e-24,-65.18805351595071,10,True,3.40,0.387251,4.207788,3.102043,0.265990,0.367323,56.443530,0.548840,
43,True,1.7154589278503522e-24,1.7154589278491334e-24,-85.00596092510787,20,True,4.21,0.424924,1.837115,3.948578,0.075712,0.165223,31.706839,0.594417,
44,True,1.7154589278503522e-24,1.7154589278491334e-24,-220.03476570705982,12,True,4.06,0.383868,1.068819,1.852212,0.177916,0.430605,10.138479,1.885344,
45,True,1.7154589278503522e-24,1.7154589278491334e-24,-410.37468741899653,11,True,2.26,0.519380,2.089643,1.031426,0.208516,0.348307,25.350574,1.920764,
46,True,1.7154589278503522e-24,1.7154589278491334e-24,-120.22412194502427,10,True,3.00,0.407373,4.877165,3.615144,0.296737,0.439174,71.041100,0.914683,
47,True,1.7154589278503522e-24,1.7154589278491334e-24,-438.68791737989176,10,True,2.50,0.511695,4.301209,5.279760,0.291526,0.372836,17.762215,2.115425,
48,True,1.7154589278503522e-24,1.7154589278491334e-24,-125.02323632998096,11,True,3.05,0.337239,1.341943,5.591551,0.210320,0.263176,0.074016,1.387965,
49,True,1.7154589278503522e-24,1.7154589278491334e-24,-76.4784488677813,19,True,3.40,0.277251,1.657390,1.620489,0.080270,0.196480,33.137863,1.256198,
