iterations,volume_fractions,poisson_ratios_v12,poisson_ratios_v21
1,0.386699999999986,0.297968770818667,0.297968770818668
2,0.399936560037992,0.288983849058152,0.288983849058152
3,0.399988094714318,0.307025599039861,0.307025599039856
4,0.399947745519271,0.302829065800952,0.302829065800957
5,0.399990017395159,0.304429949854334,0.30442994985433
6,0.399953423957397,0.30137598126923,0.301375981269232
7,0.399990658895358,0.301989578199459,0.301989578199452
8,0.399953054092812,0.296919569515612,0.296919569515618
9,0.399985476445479,0.298370806824574,0.298370806824564
10,0.399950359936546,0.29204571633275,0.292045716332737
11,0.399982910424472,0.287715791771852,0.287715791771775
12,0.399955582232353,0.288943173003835,0.2889431730038
13,0.399985909638715,0.280608382243395,0.280608382243234
14,0.399949772207012,0.278473488036312,0.278473488036305
15,0.399971030537416,0.27189621236298,0.271896212362858
16,0.399935737281149,0.269318259665485,0.26931825966544
17,0.399957868556842,0.264149146529218,0.264149146529039
18,0.39992208259933,0.257888256982682,0.257888256982441
19,0.399952134892309,0.251561674063772,0.251561674063123
20,0.39992118212685,0.240498832329272,0.240498832327883
21,0.324580813912369,0.200716410365161,0.200716410362703
22,0.263450132912176,0.0929346134963766,0.0929346134946109
23,0.213273173629165,-0.0183083697315418,-0.0183083697310534
24,0.226519455323821,-0.198708438116871,-0.198708438106294
25,0.252872011243985,-0.379838341523302,-0.37983834150892
26,0.30377363715971,-0.494898256745724,-0.494898256733832
27,0.355097478100627,-0.522553668407022,-0.522553668399938
28,0.405438630080298,-0.528985231040679,-0.528985231036285
29,0.399982907526554,-0.556076030757399,-0.556076030749735
30,0.400015125840681,-0.598564104874743,-0.598564104854556
31,0.400016313225513,-0.634631695582669,-0.634631695551446
32,0.40003236406246,-0.661525864802844,-0.661525864771389
33,0.40004733981539,-0.662006618475532,-0.662006618455125
34,0.400050133362428,-0.670285344093326,-0.670285344070033
35,0.40005625140845,-0.658487298191435,-0.658487298171982
36,0.400041634506773,-0.663987711994679,-0.663987711934472
37,0.400032519643769,-0.655592018232472,-0.65559201818053
38,0.400028998295213,-0.657869001167793,-0.657869001127133
39,0.400022303123182,-0.653846769110255,-0.653846769068217
40,0.400019205093689,-0.656583573457822,-0.656583573495659
41,0.400011598647126,-0.656380520775328,-0.656380521074281
42,0.400010783811901,-0.658849292657347,-0.65884929286049
43,0.400011904492034,-0.658752965184167,-0.658752965948505
44,0.400012667383819,-0.659551955232441,-0.659551954403963
45,0.400012103260716,-0.658570129099024,-0.658570127892902
46,0.40001023860209,-0.65984474201883,-0.6598447408747
47,0.400008825997493,-0.658567024542725,-0.658567023132509
48,0.40000716794835,-0.657653687528105,-0.65765368262715
49,0.40000417908279,-0.657073689310469,-0.657073684432184
50,0.400005485148721,-0.657627196816313,-0.657627191810887
51,0.40000446233255,-0.657196783724711,-0.657196779742543
52,0.400006688671585,-0.658158578424327,-0.65815855913872
