iterations,volume_fractions,poisson_ratios_v12,poisson_ratios_v21
1,0.352159999999991,0.336779692256023,0.336779692256028
2,0.39999988775961,0.253337081713734,0.253337081713736
3,0.39999695229215,0.238307226787975,0.238307226787973
4,0.399997817791194,0.202392208889345,0.202392208889333
5,0.399997750582662,0.161563838982514,0.161563838982492
6,0.40000217266755,0.107957945849089,0.107957945849062
7,0.400000380336087,0.0948522177217794,0.0948522177217572
8,0.400001700575448,0.0945590569762448,0.0945590569762141
9,0.40000119568143,0.0928809807506407,0.0928809807505887
10,0.400001042437383,0.093890313892955,0.0938903138929346
11,0.400000657192572,0.0969151520134794,0.0969151520132817
12,0.400000145260342,0.0996170843271432,0.0996170843266962
13,0.399999699461047,0.101437850508925,0.101437850508235
14,0.39999937777412,0.101859958488558,0.101859958487549
15,0.399999043722536,0.10201818067362,0.102018180672217
16,0.3999987464225,0.101955817660684,0.101955817658343
17,0.399998499216304,0.101906531369547,0.101906531365541
18,0.399998312478104,0.101879252367421,0.101879252360996
19,0.399998209802738,0.101860333938855,0.101860333929241
20,0.399998201861408,0.101848579600215,0.101848579586731
21,0.366187763789659,0.0793374250273031,0.079337425015666
22,0.33393844566411,0.0591080493973908,0.0591080493878756
23,0.301931039607969,0.0419310266315319,0.0419310266242936
24,0.270596405023024,0.0277132188592334,0.0277132188542557
25,0.24085346306622,0.0160927210888344,0.0160927210858126
26,0.218697126009754,-0.00520828000724539,-0.00520828000658312
27,0.218610059644432,-0.11336818365109,-0.113368183643433
28,0.224928316300539,-0.32122428690922,-0.321224286908611
29,0.234628085911162,-0.477134033431059,-0.477134033446904
30,0.246716016929146,-0.544973852766368,-0.544973852782357
31,0.264299862899634,-0.573243875101875,-0.573243875115179
32,0.283142527942648,-0.579984191943118,-0.579984191953617
33,0.294841197530321,-0.563402313740773,-0.563402313748617
34,0.306455361508837,-0.551539079349813,-0.551539079355731
35,0.31275966041431,-0.539695166514956,-0.539695166518412
36,0.319121305662239,-0.526488086147102,-0.526488086148604
37,0.323380655327894,-0.514272475505543,-0.514272475505185
38,0.32787277517413,-0.500913203055576,-0.500913203055401
39,0.33086054647764,-0.493932295331242,-0.493932295331029
40,0.333810542212684,-0.492642815599654,-0.492642815599579
41,0.336341020881797,-0.49885162866098,-0.49885162866082
42,0.338982653489208,-0.487408989842405,-0.487408989842245
43,0.339622651704302,-0.496465834793439,-0.496465834793201
44,0.340188850829454,-0.485202971358462,-0.485202971358301
45,0.3401975755427,-0.49744666203935,-0.497446662038835
46,0.3404875755427,-0.485473130977595,-0.485473130977173
47,0.340391540472136,-0.497867378980032,-0.497867378979575
48,0.340541540472136,-0.486371213577673,-0.48637121357722
49,0.340460949420642,-0.498610905029145,-0.498610905028652
50,0.340580949420642,-0.486521187994574,-0.4865211879941
51,0.34046,-0.498658849669524,-0.498658849669031
