Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.990000
1,0.409899,0.409899,141.092432,0.891000
2,0.331661,0.331661,142.740156,0.792000
3,0.331661,0.331661,145.706900,0.693000
4,0.331661,0.331661,148.038973,0.594000
5,0.331661,0.331661,149.803907,0.495000
6,0.331661,0.331661,151.075104,0.439275
7,0.312418,0.312418,144.402336,0.439275
8,0.430541,0.430541,129.262918,0.439275
9,0.455899,0.455899,110.046544,0.439276
10,0.459806,0.459806,90.693007,0.439275
11,0.458117,0.458117,71.121839,0.439275
12,0.440189,0.440189,68.863168,0.439274
13,0.404924,0.404924,65.393810,0.439275
14,0.419446,0.419446,65.025471,0.439276
15,0.429267,0.429267,64.754333,0.439276
16,0.432174,0.432174,64.263081,0.439275
17,0.435498,0.435498,63.925628,0.439276
18,0.436004,0.436004,63.817485,0.439274
19,0.436251,0.436251,63.727234,0.439276
20,0.436433,0.436433,63.627797,0.439275
21,0.436663,0.436663,63.545982,0.439275
22,0.436784,0.436784,63.527837,0.439274
23,0.436886,0.436886,63.511775,0.439275
24,0.436975,0.436975,63.497249,0.439275
25,0.437050,0.437050,63.484714,0.439274
26,0.437114,0.437114,63.474108,0.439275
27,0.437167,0.437167,63.464951,0.439276
28,0.437212,0.437212,63.456948,0.439275
29,0.437247,0.437247,63.450101,0.439275
30,0.437276,0.437276,63.443789,0.439275
31,0.437297,0.437297,63.437804,0.439275
32,0.437313,0.437313,63.432851,0.439274
