Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.680000
1,0.184484,0.184484,12.992860,0.547830
2,0.187305,0.187305,-1.066351,0.418400
3,0.187305,0.187305,-19.231529,0.288971
4,0.187305,0.187305,-29.404346,0.159541
5,0.187305,0.187305,-32.534737,0.030111
6,0.187301,0.187301,-32.887277,0.000000
7,0.000000,0.000000,-32.887822,0.000000
8,0.000000,0.000000,-32.887822,0.000000
9,0.000000,0.000000,-32.887822,0.000000
10,0.000000,0.000000,-32.887822,0.000000
11,0.000000,0.000000,-32.887822,0.000000
